"Cnt","Est","Est.km"
"Vanuatu",1005797133.87849,1005.79713387849
"Vanuatu",1005797133.87849,1005.79713387849
"Marshall Islands",32501388609.8438,32501.3886098438
"Marshall Islands",32501388609.8438,32501.3886098438
"Tuvalu",3857670688.42392,3857.67068842392
"Tuvalu",3857670688.42392,3857.67068842392
"Gilbert Islands",30631618784.291,30631.618784291
"Gilbert Islands",30631618784.291,30631.618784291
"Fiji",143825604960.324,143825.604960324
"Fiji",143825604960.324,143825.604960324
"Vanuatu",1005797133.87849,1005.79713387849
"Vanuatu",1005797133.87849,1005.79713387849
"Marshall Islands",32501388609.8438,32501.3886098438
"Marshall Islands",32501388609.8438,32501.3886098438
"Tuvalu",3857670688.42392,3857.67068842392
"Tuvalu",3857670688.42392,3857.67068842392
"Gilbert Islands",30631618784.291,30631.618784291
"Gilbert Islands",30631618784.291,30631.618784291
"Fiji",143825604960.324,143825.604960324
"Fiji",143825604960.324,143825.604960324
