"Cnt","Est","Est.km"
"Johnston Atoll",442442951348.281,442442.951348281
"Marshall Islands",275119055957.809,275119.055957809
"Wake Island",3113015243.7651,3113.0152437651
"Alaska",320176810327.391,320176.810327391
"Hawaii",2474715093991.08,2474715.09399108
"Johnston Atoll",442442951348.281,442442.951348281
"Marshall Islands",275119055957.809,275119.055957809
"Wake Island",3113015243.7651,3113.0152437651
"Alaska",320176810327.391,320176.810327391
"Hawaii",2474715093991.08,2474715.09399108
"Johnston Atoll",442442951348.281,442442.951348281
"Marshall Islands",275119055957.809,275119.055957809
"Wake Island",3113015243.7651,3113.0152437651
"Alaska",320176810327.391,320176.810327391
"Hawaii",2474715093991.08,2474715.09399108
"Johnston Atoll",442442951348.281,442442.951348281
"Marshall Islands",275119055957.809,275119.055957809
"Wake Island",3113015243.7651,3113.0152437651
"Alaska",320176810327.391,320176.810327391
"Hawaii",2474715093991.08,2474715.09399108
