"Cnt","Est","Est.km"
"New Caledonia",14087809405.0561,14087.8094050561
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",179764493908.452,179764.493908452
"American Samoa",405829683229.906,405829.683229906
"Vanuatu",196105881179.139,196105.881179139
"Tuvalu",127640953709.35,127640.95370935
"Fiji",1280097867803.88,1280097.86780388
"Wallis and Futuna",260372159629.108,260372.159629108
"Line Group",215764683316.725,215764.683316725
"Cook Islands",1519411781119.6,1519411.7811196
"Tokelau",34293729101.7472,34293.7291017472
"New Zealand",1439136441237.77,1439136.44123777
"Norfolk Island",75939438643.6924,75939.4386436924
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"French Polynesia",958707258141.907,958707.258141907
"New Caledonia",187183955547.456,187183.955547456
"New Caledonia",14087809405.0561,14087.8094050561
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",179764493908.452,179764.493908452
"American Samoa",405829683229.906,405829.683229906
"Vanuatu",196105881179.139,196105.881179139
"Tuvalu",127640953709.35,127640.95370935
"Fiji",1280097867803.88,1280097.86780388
"Wallis and Futuna",260372159629.108,260372.159629108
"Line Group",215764683316.725,215764.683316725
"Cook Islands",1519411781119.6,1519411.7811196
"Tokelau",34293729101.7472,34293.7291017472
"New Zealand",1439136441237.77,1439136.44123777
"Norfolk Island",75939438643.6924,75939.4386436924
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"French Polynesia",958707258141.907,958707.258141907
"New Caledonia",187183955547.456,187183.955547456
"New Caledonia",14087809405.0561,14087.8094050561
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",179764493908.452,179764.493908452
"American Samoa",405829683229.906,405829.683229906
"Vanuatu",196105881179.139,196105.881179139
"Tuvalu",127640953709.35,127640.95370935
"Fiji",1280097867803.88,1280097.86780388
"Wallis and Futuna",260372159629.108,260372.159629108
"Line Group",215764683316.725,215764.683316725
"Cook Islands",1519411781119.6,1519411.7811196
"Tokelau",34293729101.7472,34293.7291017472
"New Zealand",1439136441237.77,1439136.44123777
"Norfolk Island",75939438643.6924,75939.4386436924
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"French Polynesia",958707258141.907,958707.258141907
"New Caledonia",187183955547.456,187183.955547456
"New Caledonia",14087809405.0561,14087.8094050561
"Samoa",130480233522.853,130480.233522853
"Solomon Islands",179764493908.452,179764.493908452
"American Samoa",405829683229.906,405829.683229906
"Vanuatu",196105881179.139,196105.881179139
"Tuvalu",127640953709.35,127640.95370935
"Fiji",1280097867803.88,1280097.86780388
"Wallis and Futuna",260372159629.108,260372.159629108
"Line Group",215764683316.725,215764.683316725
"Cook Islands",1519411781119.6,1519411.7811196
"Tokelau",34293729101.7472,34293.7291017472
"New Zealand",1439136441237.77,1439136.44123777
"Norfolk Island",75939438643.6924,75939.4386436924
"Tonga",666052041738.752,666052.041738752
"Niue",318140431334.28,318140.43133428
"French Polynesia",958707258141.907,958707.258141907
"New Caledonia",187183955547.456,187183.955547456
