"Cnt","Est","Est.km"
"Guam",58979052528.1348,58979.0525281348
"Johnston Atoll",440466829982.632,440466.829982632
"Marshall Islands",1048836015369.68,1048836.01536968
"Northern Mariana Islands",349067159858.852,349067.159858852
"Wake Island",248193302936.47,248193.30293647
"Micronesia",246021838916.571,246021.838916571
"Hawaii",398379158612.385,398379.158612385
"Guam",58979052528.1348,58979.0525281348
"Johnston Atoll",440466829982.632,440466.829982632
"Marshall Islands",1048836015369.68,1048836.01536968
"Northern Mariana Islands",349067159858.852,349067.159858852
"Wake Island",248193302936.47,248193.30293647
"Micronesia",246021838916.571,246021.838916571
"Hawaii",398379158612.385,398379.158612385
"Guam",58979052528.1348,58979.0525281348
"Johnston Atoll",440466829982.632,440466.829982632
"Marshall Islands",1048836015369.68,1048836.01536968
"Northern Mariana Islands",349067159858.852,349067.159858852
"Wake Island",248193302936.47,248193.30293647
"Micronesia",246021838916.571,246021.838916571
"Hawaii",398379158612.385,398379.158612385
"Guam",58979052528.1348,58979.0525281348
"Johnston Atoll",440466829982.632,440466.829982632
"Marshall Islands",1048836015369.68,1048836.01536968
"Northern Mariana Islands",349067159858.852,349067.159858852
"Wake Island",248193302936.47,248193.30293647
"Micronesia",246021838916.571,246021.838916571
"Hawaii",398379158612.385,398379.158612385
