"Cnt","Est","Est.km"
"Solomon Islands",42827929322.1414,42827.9293221414
"Gilbert Islands",920124751905.226,920124.751905226
"Tuvalu",625492065497.264,625492.065497264
"Jarvis Island",323186086408.958,323186.086408958
"Fiji",3970103361.194,3970.103361194
"Marshall Islands",342126520131.186,342126.520131186
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",2379351446.25411,2379.35144625411
"Line Group",1245178503865.79,1245178.50386579
"Cook Islands",450140699779.798,450140.699779798
"Tokelau",286252801600.076,286252.801600076
"Howland and Baker islands",434893794344.9,434893.7943449
"Solomon Islands",42827929322.1414,42827.9293221414
"Gilbert Islands",920124751905.226,920124.751905226
"Tuvalu",625492065497.264,625492.065497264
"Jarvis Island",323186086408.958,323186.086408958
"Fiji",3970103361.194,3970.103361194
"Marshall Islands",342126520131.186,342126.520131186
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",2379351446.25411,2379.35144625411
"Line Group",1245178503865.79,1245178.50386579
"Cook Islands",450140699779.798,450140.699779798
"Tokelau",286252801600.076,286252.801600076
"Howland and Baker islands",434893794344.9,434893.7943449
"Solomon Islands",42827929322.1414,42827.9293221414
"Gilbert Islands",920124751905.226,920124.751905226
"Tuvalu",625492065497.264,625492.065497264
"Jarvis Island",323186086408.958,323186.086408958
"Fiji",3970103361.194,3970.103361194
"Marshall Islands",342126520131.186,342126.520131186
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",2379351446.25411,2379.35144625411
"Line Group",1245178503865.79,1245178.50386579
"Cook Islands",450140699779.798,450140.699779798
"Tokelau",286252801600.076,286252.801600076
"Howland and Baker islands",434893794344.9,434893.7943449
"Solomon Islands",42827929322.1414,42827.9293221414
"Gilbert Islands",920124751905.226,920124.751905226
"Tuvalu",625492065497.264,625492.065497264
"Jarvis Island",323186086408.958,323186.086408958
"Fiji",3970103361.194,3970.103361194
"Marshall Islands",342126520131.186,342126.520131186
"Phoenix Group",745781630489.441,745781.630489441
"Palmyra Atoll",353669860117.62,353669.86011762
"Wallis and Futuna",2379351446.25411,2379.35144625411
"Line Group",1245178503865.79,1245178.50386579
"Cook Islands",450140699779.798,450140.699779798
"Tokelau",286252801600.076,286252.801600076
"Howland and Baker islands",434893794344.9,434893.7943449
