"Cnt","Est","Est.km"
"Australia",13449588625.4283,13449.5886254283
"Solomon Islands",239372734212.02,239372.73421202
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1258557135867.63,1258557.13586763
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",13449588625.4283,13449.5886254283
"Solomon Islands",239372734212.02,239372.73421202
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1258557135867.63,1258557.13586763
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",13449588625.4283,13449.5886254283
"Solomon Islands",239372734212.02,239372.73421202
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1258557135867.63,1258557.13586763
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",13449588625.4283,13449.5886254283
"Solomon Islands",239372734212.02,239372.73421202
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1258557135867.63,1258557.13586763
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
