"Cnt","Est","Est.km"
"Indonesia",677214427.729883,677.214427729883
"Indonesia",677214427.729883,677.214427729883
"Papua New Guinea",545752562850.082,545752.562850082
"Papua New Guinea",545752562850.082,545752.562850082
"Solomon Islands",73919702872.8894,73919.7028728894
"Solomon Islands",73919702872.8894,73919.7028728894
"Indonesia",677214427.729883,677.214427729883
"Indonesia",677214427.729883,677.214427729883
"Papua New Guinea",545752562850.082,545752.562850082
"Papua New Guinea",545752562850.082,545752.562850082
"Solomon Islands",73919702872.8894,73919.7028728894
"Solomon Islands",73919702872.8894,73919.7028728894
