"V1","V2","Est.km","Reg"
4666226731696.58,4666226731696.58,4666226.73169658,"reg3"
16052424710733.1,16052424710733.1,16052424.7107331,"reg4"
13489325399734.2,13489325399734.2,13489325.3997342,"reg5"
4563251823274.29,4563251823274.29,4563251.82327429,"reg6"
6485073758949.24,6485073758949.24,6485073.75894924,"reg7"
15120005171378,15120005171378,15120005.171378,"reg8"
3876713394412.54,3876713394412.54,3876713.39441254,"regOvLap"
