"Cnt","Est","Est.km"
"Australia",2484128854251.13,2484128.85425113
"New Caledonia",1161883437581.37,1161883.43758137
"Solomon Islands",619576405653.625,619576.405653625
"Vanuatu",427318618444.279,427318.618444279
"Papua New Guinea",523211567084.729,523211.567084729
"New Zealand",107778487417.136,107778.487417136
"Norfolk Island",354659836470.605,354659.836470605
"Australia",2484128854251.13,2484128.85425113
"New Caledonia",1161883437581.37,1161883.43758137
"Solomon Islands",619576405653.625,619576.405653625
"Vanuatu",427318618444.279,427318.618444279
"Papua New Guinea",523211567084.729,523211.567084729
"New Zealand",107778487417.136,107778.487417136
"Norfolk Island",354659836470.605,354659.836470605
"Australia",2484128854251.13,2484128.85425113
"New Caledonia",1161883437581.37,1161883.43758137
"Solomon Islands",619576405653.625,619576.405653625
"Vanuatu",427318618444.279,427318.618444279
"Papua New Guinea",523211567084.729,523211.567084729
"New Zealand",107778487417.136,107778.487417136
"Norfolk Island",354659836470.605,354659.836470605
"Australia",2484128854251.13,2484128.85425113
"New Caledonia",1161883437581.37,1161883.43758137
"Solomon Islands",619576405653.625,619576.405653625
"Vanuatu",427318618444.279,427318.618444279
"Papua New Guinea",523211567084.729,523211.567084729
"New Zealand",107778487417.136,107778.487417136
"Norfolk Island",354659836470.605,354659.836470605
