"Cnt","Est","Est.km"
"Guam",208234147514.298,208234.147514298
"South Korea",347671282308.187,347671.282308187
"Japan",3880516359361.78,3880516.35936178
"Japan",1623628460.13294,1623.62846013294
"Philippines",97647369518.3765,97647.3695183765
"South Korea",82609981623.8646,82609.9816238646
"China",475153786149.492,475153.786149492
"Japan",213722704366.034,213722.704366034
"Marshall Islands",773904323011.928,773904.323011928
"Northern Mariana Islands",763626420981.21,763626.42098121
"Taiwan",114207613100.711,114207.613100711
"Russia",987382042337.147,987382.042337147
"Wake Island",403856575042.293,403856.575042293
"Micronesia",353401025253.463,353401.025253463
"North Korea",114379098523.685,114379.098523685
"Alaska",237699558.792855,237.699558792855
"Taiwan",73794325497.2886,73794.3254972886
"Guam",208234147514.298,208234.147514298
"South Korea",347671282308.187,347671.282308187
"Japan",3880516359361.78,3880516.35936178
"Japan",1623628460.13294,1623.62846013294
"Philippines",97647369518.3765,97647.3695183765
"South Korea",82609981623.8646,82609.9816238646
"China",475153786149.492,475153.786149492
"Japan",213722704366.034,213722.704366034
"Marshall Islands",773904323011.928,773904.323011928
"Northern Mariana Islands",763626420981.21,763626.42098121
"Taiwan",114207613100.711,114207.613100711
"Russia",987382042337.147,987382.042337147
"Wake Island",403856575042.293,403856.575042293
"Micronesia",353401025253.463,353401.025253463
"North Korea",114379098523.685,114379.098523685
"Alaska",237699558.792855,237.699558792855
"Taiwan",73794325497.2886,73794.3254972886
"Guam",208234147514.298,208234.147514298
"South Korea",347671282308.187,347671.282308187
"Japan",3880516359361.78,3880516.35936178
"Japan",1623628460.13294,1623.62846013294
"Philippines",97647369518.3765,97647.3695183765
"South Korea",82609981623.8646,82609.9816238646
"China",475153786149.492,475153.786149492
"Japan",213722704366.034,213722.704366034
"Marshall Islands",773904323011.928,773904.323011928
"Northern Mariana Islands",763626420981.21,763626.42098121
"Taiwan",114207613100.711,114207.613100711
"Russia",987382042337.147,987382.042337147
"Wake Island",403856575042.293,403856.575042293
"Micronesia",353401025253.463,353401.025253463
"North Korea",114379098523.685,114379.098523685
"Alaska",237699558.792855,237.699558792855
"Taiwan",73794325497.2886,73794.3254972886
"Guam",208234147514.298,208234.147514298
"South Korea",347671282308.187,347671.282308187
"Japan",3880516359361.78,3880516.35936178
"Japan",1623628460.13294,1623.62846013294
"Philippines",97647369518.3765,97647.3695183765
"South Korea",82609981623.8646,82609.9816238646
"China",475153786149.492,475153.786149492
"Japan",213722704366.034,213722.704366034
"Marshall Islands",773904323011.928,773904.323011928
"Northern Mariana Islands",763626420981.21,763626.42098121
"Taiwan",114207613100.711,114207.613100711
"Russia",987382042337.147,987382.042337147
"Wake Island",403856575042.293,403856.575042293
"Micronesia",353401025253.463,353401.025253463
"North Korea",114379098523.685,114379.098523685
"Alaska",237699558.792855,237.699558792855
"Taiwan",73794325497.2886,73794.3254972886
