"Cnt","Est","Est.km"
"Australia",989791152815.648,989791.152815648
"New Caledonia",125578458261.984,125578.458261984
"Solomon Islands",425217644406.292,425217.644406292
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1781767179789.07,1781767.17978907
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",989791152815.648,989791.152815648
"New Caledonia",125578458261.984,125578.458261984
"Solomon Islands",425217644406.292,425217.644406292
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1781767179789.07,1781767.17978907
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",989791152815.648,989791.152815648
"New Caledonia",125578458261.984,125578.458261984
"Solomon Islands",425217644406.292,425217.644406292
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1781767179789.07,1781767.17978907
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
"Australia",989791152815.648,989791.152815648
"New Caledonia",125578458261.984,125578.458261984
"Solomon Islands",425217644406.292,425217.644406292
"Papua New Guinea",3473652438.63048,3473.65243863048
"Papua New Guinea",1781767179789.07,1781767.17978907
"Indonesia",36324876580.1988,36324.8765801988
"Micronesia",23373666000.6056,23373.6660006056
