"Cnt","Area","Est","Est.km"
"Iceland",758338,763239318586.36,763239.31858636
"Sri Lanka",535853,533559269475.542,533559.269475542
"Eritrea",246,244984986.367935,244.984986367935
"Portugal",315287,315501241006.47,315501.24100647
"Germany",56512,56762512302.3691,56762.5123023691
"Canary Islands",446558,445909674724.535,445909.674724535
"Qatar",31423,31362705993.2844,31362.7059932844
"Madagascar",43678,43506009039.2569,43506.0090392569
"Palau",617449,614807444490.852,614807.444490852
"Europa Island",128236,127936368060.661,127936.368060661
"Sweden",154510,155347393135.494,155347.393135494
"Chafarinas Islands",26,25512845.7083972,25.5128457083972
"Comores",165126,164475985109.693,164475.985109693
"France",344395,345239811306.261,345239.811306261
"Phoenix Group",749075,745781630489.441,745781.630489441
"Antigua and Barbuda",111914,111567889854.584,111567.889854584
"Qatar",126,125736859.836416,125.736859836416
"Jamaica",15301,15247294853.8538,15247.2948538538
"Palmyra Atoll",355189,353669860117.62,353669.86011762
"Trinidad and Tobago",76866,76561602163.7008,76561.6021637008
"Saint Lucia",15470,15413064754.2039,15413.0647542039
"Wallis and Futuna",263754,262749983069.164,262749.983069164
"Guadeloupe",91013,90705443215.6587,90705.4432156587
"Madeira",453008,452796133612.218,452796.133612218
"Oecusse",1834,1826490510.89515,1826.49051089515
"Azerbaijan",80524,80614442478.3189,80614.4424783189
"Svalbard",790442,797063036784.846,797063.036784846
"Pe??n de V?lez de la Gomera",4,3685166.12315544,3.68516612315544
"United States",8473,8521025818.67917,8521.02581867917
"Poland",29847,29982225058.9929,29982.2250589929
"Cayman Islands",118651,118290763580.747,118290.763580747
"Azores",959748,960420589521.574,960420.589521574
"Crozet Islands",573927,575374873808.249,575374.873808249
"Guinea",102587,102163435937.213,102163.435937213
"Malaysia",513039,510804197914.705,510804.197914705
"Maldives",929335,925238461373.562,925238.461373562
"El Salvador",95471,95098680779.1199,95098.68077912
"France",67,67041301.4322841,67.0413014322841
"Equatorial Guinea",305490,304133206515.763,304133.206515763
"Bulgaria",34685,34744952040.7758,34744.9520407758
"Oman",558188,556490137852.464,556490.137852464
"Indonesia",6051529,6025315334443.08,6025315.33444308
"Bouvet",439907,441841102989.103,441841.102989103
"Latvia",28212,28352895045.17,28352.89504517
"Chagos Archipelago",640844,638103711117.534,638103.711117534
"Cyprus",98468,98449981271.0534,98449.9812710534
"Senegal",158936,158358081777.837,158358.081777837
"Morocco",280604,280449494488.594,280449.494488594
"Christmas Island",329297,327994267952.066,327994.267952066
