yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1991,JP,I1,1728.856,4157136.718,4157.137,36338404.628,36338.405,5866907.309,5866.907
1991,JP,I2,562.381,2423296.087,2423.296,11509661.624,11509.662,2846384.037,2846.384
1991,JP,I3,8.867,14331.998,14.332,79087.390,79.087,9593.273,9.593
1991,JP,I4,7.600,0,0,0,0,0,0
1991,JP,I5,5.067,0,0,0,0,0,0
1991,JP,I6,878.248,296702.019,296.702,12690000.687,12690.001,1055097.995,1055.098
1991,JP,ID,7,0,0,80000.451,80,69999.925,70
1991,JP,JP,845.502,494302.016,494.302,17606097.571,17606.098,3671597.943,3671.598
1991,JP,PW,269.811,7000.031,7,6536000.748,6536.001,6480000.100,6480
1991,KR,FM,68.298,36194,36.194,522960,522.960,177456,177.456
1991,KR,H4,91.064,0,0,0,0,0,0
1991,KR,I1,398.404,424446,424.446,7414078,7414.078,2107958,2107.958
1991,KR,I2,102.447,9707,9.707,185510,185.510,65530,65.530
1991,KR,ID,122.275,47484,47.484,1619119,1619.119,660821,660.821
1991,KR,PG,9740.015,7747152,7747.152,137383747,137383.747,67381839,67381.839
1991,KR,SB,37.943,38373,38.373,594694,594.694,279931,279.931
1991,NZ,NZ,181,0,0,5256000,5256,0,0
1991,PH,FM,3.005,0,0,0,0,0,0
1991,PH,I1,6.010,2001,2.001,105083,105.083,20533,20.533
1991,PH,I2,2.004,9172,9.172,28067,28.067,40253,40.253
1991,PH,ID,2.001,0,0,0,0,0,0
1991,PH,PG,1814.879,1065166,1065.166,13700701,13700.701,10600071,10600.071
1991,PH,PH,0,1901000,1901,62078000,62078,17109000,17109
1991,PH,SB,65.103,63883,63.883,550471,550.471,322226,322.226
1991,SB,AU,1,0,0,0,0,0,0
1991,SB,SB,254,159206,159.206,5915094,5915.094,4620711,4620.711
1991,SU,GL,0,10000,10,2601000,2601,1104000,1104
1991,TW,FM,328.339,344903,344.903,2979294,2979.294,1472915,1472.915
1991,TW,H4,19.219,23465,23.465,158216,158.216,89337,89.337
1991,TW,I1,1210.852,1711799,1711.799,13879378,13879.378,5873659,5873.659
1991,TW,I2,43.245,8801,8.801,224130,224.130,81557,81.557
1991,TW,I3,4.805,0,0,0,0,0,0
1991,TW,I4,17.619,11551,11.551,261375,261.375,78828,78.828
1991,TW,ID,1505.192,1614231,1614.231,17396408,17396.408,9827266,9827.266
1991,TW,MH,3.203,0,0,0,0,0,0
1991,TW,PG,6899.933,9030255,9030.255,72519172,72519.172,38006051,38006.051
1991,TW,PH,9.518,0,0,0,0,0,0
1991,TW,PW,35.236,15923,15.923,189657,189.657,86086,86.086
1991,TW,SB,4.805,0,0,0,0,0,0
1991,TW,TV,14.415,9717,9.717,68368,68.368,37776,37.776
1991,US,AS,29.609,0,0,0,0,0,0
1991,US,AU,0.987,0,0,0,0,0,0
1991,US,FJ,1.974,0,0,0,0,0,0
1991,US,FM,649.429,434662,434.662,13876424,13876.424,2630163,2630.163
1991,US,GL,798.463,298166,298.166,25486318,25486.318,2037306,2037.306
1991,US,GU,15.792,0,0,0,0,0,0
1991,US,H4,636.599,75176,75.176,19915684,19915.684,713107,713.107
1991,US,H5,4.935,0,0,0,0,0,0
1991,US,HB,73.036,8861,8.861,1588991,1588.991,141951,141.951
1991,US,I1,157.916,102086,102.086,3045515,3045.515,501990,501.990
1991,US,I2,405.647,197013,197.013,4724338,4724.338,1235494,1235.494
1991,US,I3,1.974,1066,1.066,48326,48.326,5471,5.471
1991,US,I4,4.935,0,0,0,0,0,0
1991,US,I5,6.909,0,0,0,0,0,0
1991,US,ID,43,31226,31.226,783216,783.216,389551,389.551
1991,US,JV,0.987,0,0,0,0,0,0
1991,US,LN,3.948,0,0,0,0,0,0
1991,US,MH,18.753,4041,4.041,44095,44.095,14903,14.903
1991,US,MP,1.974,0,0,0,0,0,0
1991,US,NR,316.819,177419,177.419,5127532,5127.532,724574,724.574
1991,US,NZ,8,0,0,194038,194.038,0,0
1991,US,PG,2015.402,1598426,1598.426,35902234,35902.234,23146789,23146.789
1991,US,PH,1,0,0,0,0,0,0
1991,US,PW,222.069,214639,214.639,9281351,9281.351,3341269,3341.269
1991,US,PX,495.461,70563,70.563,17562903,17562.903,921183,921.183
1991,US,SB,63.166,45794,45.794,867531,867.531,594393,594.393
1991,US,TK,430.321,2755,2.755,13916376,13916.376,64549,64.549
1991,US,TO,0.987,0,0,0,0,0,0
1991,US,TV,844.850,96153,96.153,23235167,23235.167,761228,761.228
1991,US,WF,12.831,0,0,86934,86.934,0,0
1991,US,WS,23.687,0,0,0,0,0,0
1992,AU,AU,205,0,0,6158000,6158,0,0
1992,AU,FM,41.872,3456,3.456,12338.675,12.339,26342.400,26.342
1992,AU,I1,4.085,0,0,0,0,0,0
1992,AU,I2,41.872,4896,4.896,567578.945,567.579,37318.400,37.318
1992,AU,PG,56.170,36648,36.648,94082.379,94.082,279339.200,279.339
1992,FM,FM,351.273,370506,370.506,3743219,3743.219,1628331,1628.331
1992,FM,GL,111.567,142465,142.465,1507532,1507.532,726202,726.202
1992,FM,H4,8.837,16198,16.198,321501,321.501,84662,84.662
1992,FM,HB,29.825,17110,17.110,799256,799.256,170536,170.536
1992,FM,I1,34.243,12339,12.339,355649,355.649,138504,138.504
1992,FM,I2,129.241,180321,180.321,2527885,2527.885,952754,952.754
1992,FM,I4,3.314,249,0.249,17506,17.506,3366,3.366
1992,FM,MH,1.105,0,0,0,0,0,0
1992,FM,NR,4.418,480,0.480,34950,34.950,6168,6.168
1992,FM,PG,5.523,869,0.869,20697,20.697,22729,22.729
1992,FM,PX,53.023,17337,17.337,1037041,1037.041,283773,283.773
1992,FM,TK,2.209,0,0,0,0,0,0
1992,FM,TV,12.151,11392,11.392,122853,122.853,57626,57.626
1992,ID,ID,0,1145000,1145,28470000,28470,8552000,8552
1992,JP,FM,2738.876,463000.025,463,65435999.322,65435.999,20041000.240,20041
1992,JP,H4,4.419,0,0,0,0,0,0
1992,JP,H5,19.883,121.068,0.121,15423.332,15.423,0,0
1992,JP,I1,780.229,1383571.061,1383.571,10873817.270,10873.817,3438601.779,3438.602
1992,JP,I2,2183.589,7344346.832,7344.347,45603996.402,45603.996,15304939.416,15304.939
1992,JP,I3,12.151,49767.573,49.768,257377.285,257.377,137241.678,137.242
1992,JP,I4,24.302,3392.546,3.393,15490.900,15.491,2115.748,2.116
1992,JP,I5,17.674,0,0,0,0,0,0
1992,JP,I6,721.636,141200.010,141.200,7232094.855,7232.095,478099.004,478.099
1992,JP,ID,2,0,0,0,0,0,0
1992,JP,JP,878.134,457600.984,457.601,8550799.482,8550.799,6823001.865,6823.002
1992,JP,PW,132.757,0,0,1385999.774,1386,3161999.787,3162
1992,KR,FM,93.476,79113,79.113,904326,904.326,447459,447.459
1992,KR,I1,131.966,375690,375.690,3884970,3884.970,2068679,2068.679
1992,KR,I2,1069.474,1203360,1203.360,16767402,16767.402,7047631,7047.631
1992,KR,ID,9.885,0,0,0,0,0,0
1992,KR,NR,10.998,4723,4.723,86244,86.244,29140,29.140
1992,KR,PG,8690.505,7348262,7348.262,87653093,87653.093,51899249,51899.249
1992,KR,SB,32.991,29873,29.873,477207,477.207,187582,187.582
1992,NZ,NZ,46,0,0,985000,985,0,0
1992,PH,I1,1.183,0,0,0,0,0,0
1992,PH,ID,23.448,20897,20.897,250020,250.020,210466,210.466
1992,PH,PG,1813.456,1277599,1277.599,16662169,16662.169,13078949,13078.949
1992,PH,PH,0,1211000,1211,43607000,43607,10895000,10895
1992,PH,SB,391.811,373998,373.998,4230678,4230.678,2734225,2734.225
1992,SB,SB,402,207582,207.582,5468097,5468.097,5411310,5411.310
1992,SU,GL,0,4000,4,1689000,1689,433000,433
1992,TW,FM,3707.445,3152409,3152.409,37621026,37621.026,14675032,14675.032
1992,TW,I1,1795.093,2049830,2049.830,17970842,17970.842,6991290,6991.290
1992,TW,I2,1767.503,2510477,2510.477,22652197,22652.197,10494467,10494.467
1992,TW,I3,3.449,6551,6.551,63686,63.686,32470,32.470
1992,TW,ID,1653.935,1441153,1441.153,12635780,12635.780,11007099,11007.099
1992,TW,MH,3.449,0,0,18492,18.492,12635,12.635
1992,TW,NR,41.386,100888,100.888,631096,631.096,433303,433.303
1992,TW,PG,4650.688,5342118,5342.118,45131851,45131.851,23911107,23911.107
1992,TW,PH,25.343,0,0,0,0,0,0
1992,TW,PW,72.424,81175,81.175,460174,460.174,507162,507.162
1992,TW,SB,8.622,3583,3.583,38293,38.293,23795,23.795
1992,US,AS,29.498,0,0,0,0,0,0
1992,US,AU,2.950,0,0,0,0,0,0
1992,US,FJ,6.883,0,0,0,0,0,0
1992,US,FM,641.081,503648,503.648,9924721,9924.721,3846548,3846.548
1992,US,GL,1870.147,1892688,1892.688,46416669,46416.669,10318646,10318.646
1992,US,GU,7.866,0,0,0,0,0,0
1992,US,H4,238.930,278955,278.955,4432427,4432.427,1338384,1338.384
1992,US,HB,498.509,443236,443.236,9617448,9617.448,2485624,2485.624
1992,US,I1,46.213,17694,17.694,450535,450.535,210605,210.605
1992,US,I2,817.083,859760,859.760,13792100,13792.100,5592087,5592.087
