ccm,year,effort
CK,2013,0
EU,2013,405.911
FM,2013,6.94
FJ,2013,0
PF,2013,0
GU,2013,0
ID,2013,0
JP,2013,12.849
KI,2013,184.02
KR,2013,31.904
MH,2013,5.192
NR,2013,0
NC,2013,0
NZ,2013,14.381
NU,2013,0
MP,2013,0
PW,2013,0
PG,2013,15.928
PH,2013,4096
WS,2013,0
SB,2013,0
TW,2013,71.446
TK,2013,0
TO,2013,0
TV,2013,0
US,2013,1040.899
VU,2013,7.959
WF,2013,0
AS,2014,0
AU,2014,0
CN,2014,9.151
CA,2014,0
CK,2014,0
EU,2014,390.927
FM,2014,11.402
FJ,2014,0
PF,2014,0
GU,2014,0
ID,2014,0
JP,2014,8.151
KI,2014,857.595
KR,2014,193.668
MH,2014,6.975
NR,2014,0
NC,2014,0
NZ,2014,18.85
NU,2014,0
MP,2014,0
PW,2014,0
PG,2014,39.967
PH,2014,2666.978
WS,2014,0
SB,2014,0
TW,2014,46.87
TK,2014,0
TO,2014,0
TV,2014,0.995
US,2014,1140.691
VU,2014,2.965
WF,2014,0
AS,2015,0
AU,2015,0
CN,2015,21.743
CA,2015,0
CK,2015,0
EU,2015,315.251
FM,2015,463.361
FJ,2015,0
PF,2015,0
GU,2015,0
ID,2015,0
JP,2015,98.804
KI,2015,707.598
KR,2015,212.198
MH,2015,837.183
NR,2015,0
NC,2015,0
NZ,2015,145.362
NU,2015,0
MP,2015,0
PW,2015,0
PG,2015,1126.875
PH,2015,2442.2
WS,2015,0
SB,2015,0
TW,2015,84.405
TK,2015,0
TO,2015,0
TV,2015,85.16
US,2015,1657.582
VU,2015,0
WF,2015,0
AS,2016,0
AU,2016,0
CN,2016,22.954
CA,2016,0
CK,2016,0
EU,2016,126.186
FM,2016,388.34
FJ,2016,0
PF,2016,0
GU,2016,0
ID,2016,0
JP,2016,25.488
KI,2016,881.034
KR,2016,211.914
MH,2016,391.867
NR,2016,0
NC,2016,0
NZ,2016,95.294
NU,2016,0
MP,2016,0
PW,2016,0
PG,2016,103.616
PH,2016,2644.952
WS,2016,0
SB,2016,24.844
TW,2016,93.865
TK,2016,0
TO,2016,0
TV,2016,146
US,2016,1456.76
VU,2016,162.444
WF,2016,0
