yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1990,KR,I2,96900,96.900,74694,74.694,481,0.481,240595,240.595,0,0
1990,KR,I4,0,0,7179415.587,7179.416,2021,2.021,4598793,4598.793,0,0
1990,KR,I5,0,0,7179415.587,7179.416,2021,2.021,4598793,4598.793,0,0
1990,KR,I6,4257,4.257,2033,2.033,0,0,336,0.336,0,0
1990,KR,I7,135464,135.464,9159,9.159,858,0.858,20002,20.002,0,0
1990,KR,I8,38466,38.466,6192,6.192,53,0.053,57118,57.118,0,0
1990,KR,I9,1614,1.614,230,0.230,46,0.046,900,0.900,0,0
1990,KR,IW,1820,1.820,1672,1.672,0,0,1715,1.715,0,0
1990,KR,LN,76471,76.471,1264576,1264.576,0,0,993088,993.088,0,0
1990,KR,PF,306393,306.393,495020,495.020,412,0.412,467895,467.895,0,0
1990,KR,PG,378657,378.657,39690,39.690,1128,1.128,288608,288.608,0,0
1990,KR,PX,32944,32.944,319457,319.457,0,0,451857,451.857,0,0
1990,KR,SB,209023,209.023,25549,25.549,1854,1.854,122730,122.730,0,0
1990,KR,TV,249641,249.641,101825,101.825,1028,1.028,408963,408.963,0,0
1990,NC,I7,26729.699,26.730,774.402,0.774,0,0,3547.386,3.547,0,0
1990,NC,MA,10514.742,10.515,284.351,0.284,0,0,5167.184,5.167,0,0
1990,NC,NC,1015755.558,1015.756,58941.248,58.941,0,0,608285.430,608.285,0,0
1990,NZ,I7,1514.860,1.515,0,0,0,0,0,0,0,0
1990,NZ,NZ,168485.140,168.485,30000,30,0,0,4000,4,0,0
1990,PF,PF,20000,20,4000,4,0,0,6000,6,0,0
1990,PH,PH,0,0,59000,59,0,0,484000,484,0,0
1990,TO,I7,64331.846,64.332,1516.485,1.516,795.380,0.795,3742.060,3.742,0,0
1990,TO,TO,87668.154,87.668,9483.515,9.484,1204.620,1.205,23257.940,23.258,0,0
1990,TW,CK,225369,225.369,23372,23.372,1622,1.622,32984,32.984,0,0
1990,TW,FJ,6665,6.665,245,0.245,0,0,494,0.494,0,0
1990,TW,FM,5801,5.801,118669,118.669,0,0,123245,123.245,0,0
1990,TW,H5,6016,6.016,992,0.992,0,0,6035,6.035,0,0
1990,TW,I1,1617,1.617,1836557.078,1836.557,0,0,2024782.900,2024.783,0,0
1990,TW,I2,0,0,420,0.420,0,0,30,0.030,0,0
1990,TW,I3,0,0,787095.891,787.096,0,0,867764.100,867.764,0,0
1990,TW,I4,0,0,785390.008,785.390,0,0,852258.510,852.259,0,0
1990,TW,I5,0,0,785390.008,785.390,0,0,852258.510,852.259,0,0
1990,TW,I6,174000,174,123000,123,60600,60.600,3240300,3240.300,0,0
1990,TW,I7,9419526.200,9419.526,0,0,0,0,0,0,0,0
1990,TW,I8,10349,10.349,205,0.205,27,0.027,1596,1.596,0,0
1990,TW,I9,4202,4.202,83,0.083,0,0,543,0.543,0,0
1990,TW,ID,0,0,19466,19.466,0,0,36813,36.813,0,0
1990,TW,LN,300,0.300,45893,45.893,0,0,76212,76.212,0,0
1990,TW,MH,0,0,1361,1.361,0,0,1045,1.045,0,0
1990,TW,PG,120,0.120,10330,10.330,0,0,15115,15.115,0,0
1990,TW,PH,1219,1.219,87755,87.755,40400,40.400,2164640,2164.640,0,0
1990,TW,PW,2275,2.275,303261,303.261,0,0,324630,324.630,0,0
1990,TW,SB,66478,66.478,8407,8.407,7,0.007,7214,7.214,0,0
1990,TW,TW,174000,174,205000,205,101000,101,5400500,5400.500,0,0
1990,TW,VU,263095,263.095,13108,13.108,1501,1.501,81540,81.540,0,0
1990,US,HW,75836.388,75.836,1064792.802,1064.793,0,0,689984.297,689.984,0,0
1990,US,I5,0,0,6840.988,6.841,0,0,3481.697,3.482,0,0
1990,US,I6,106163.612,106.164,448366.210,448.366,0,0,409534.017,409.534,0,0
1991,AU,AU,224824.792,224.825,26886.789,26.887,65675.710,65.676,804092.387,804.092,0,0
1991,AU,I7,175.208,0.175,113.211,0.113,324.290,0.324,2907.613,2.908,0,0
1991,CN,FM,0,0,8415,8.415,0,0,8405,8.405,0,0
1991,CN,I1,0,0,6693,6.693,0,0,4251,4.251,0,0
1991,CN,I4,0,0,73369.997,73.370,0,0,70374.500,70.375,0,0
1991,CN,I5,0,0,73369.997,73.370,0,0,70374.500,70.375,0,0
1991,CN,PW,0,0,364152,364.152,0,0,327595,327.595,0,0
1991,FJ,FJ,208000,208,123000,123,0,0,106000,106,0,0
1991,FM,FM,0,0,12000,12,0,0,11000,11,0,0
1991,ID,ID,0,0,2395000,2395,0,0,10653000,10653,0,0
1991,JP,AU,770337.027,770.337,275092.040,275.092,8875,8.875,1090536.007,1090.536,0,0
1991,JP,FM,11000.018,11,4561163.860,4561.164,0,0,5198490.977,5198.491,0,0
1991,JP,GL,1220.049,1.220,107280.137,107.280,0,0,182123.046,182.123,0,0
1991,JP,H5,0,0,19740.802,19.741,0,0,40196.015,40.196,0,0
1991,JP,I1,50.574,0.051,901127.593,901.128,0,0,934555.676,934.556,0,0
1991,JP,I2,1991.306,1.991,381124.712,381.125,0,0,488285.980,488.286,0,0
