"","eez","Dist"
"180","Line Group",50638.2061211715
"181","Line Group",76082.8261984991
"182","Phoenix Group",48561.471408771
"183","Tuvalu",6642.61779313718
"184","Palmyra Atoll",101529.821597136
"185","Johnston Atoll",3587.07333932883
"186","Jarvis Island",78815.918863974
"187","Palmyra Atoll",121048.959294139
"188","Phoenix Group",121328.840361303
"189","Phoenix Group",157631.454598199
"190","Gilbert Islands",69947.7768607233
"191","Johnston Atoll",161928.167615696
"192","Phoenix Group",19700.5787637517
"193","French Polynesia",9507.83954452527
"194","Palmyra Atoll",62071.3683790616
"195","Palmyra Atoll",110730.65460036
"196","Line Group",19070.2110888029
"197","Line Group",20966.0542003727
"198","French Polynesia",170461.364814839
"199","Phoenix Group",157224.749780507
"200","Marshall Islands",156140.134172906
"201","Phoenix Group",102809.944737902
"202","Gilbert Islands",177911.582667683
"203","Guam",126486.435642637
"204","Palau",157613.724907421
"205","Johnston Atoll",121956.576964471
"206","French Polynesia",16902.1740625542
"207","Tuvalu",85005.092685553
"208","Nauru",6831.79885420169
"209","Nauru",27988.1052113267
"210","Micronesia",94587.1200019327
"211","Philippines",10746.0385436848
"212","Micronesia",108283.067020634
"213","Cook Islands",49931.334410639
"214","Johnston Atoll",104996.23597107
"215","Palau",49954.0009242367
"216","French Polynesia",35037.5161046106
"217","Hawaii",95257.0636382748
"218","Japan",141811.109756181
"219","Howland and Baker islands",73399.7830238575
"220","Line Group",19436.7037466587
"221","Palmyra Atoll",77453.4251584567
"222","Howland and Baker islands",7503.95798421394
"223","Northern Mariana Islands",45025.9951405233
"224","Philippines",5472.42390564161
"225","Marshall Islands",31916.3493682569
"226","Marshall Islands",322.177470484676
"227","Palau",106340.934199019
"228","Gilbert Islands",84567.8468044417
"229","Nauru",76490.0279842406
"230","Phoenix Group",148136.941009182
"231","Micronesia",54200.2580341295
"232","Jarvis Island",109450.728939102
"233","Phoenix Group",119149.420428475
"234","Micronesia",24301.2362307249
"235","Phoenix Group",50239.835152521
"236","Jarvis Island",96950.7087196188
"237","Indonesia",82966.1613672279
"238","Line Group",110855.5886727
"239","Northern Mariana Islands",121453.082195551
"240","Marshall Islands",74061.0399120876
"241","Palmyra Atoll",166166.585752917
"242","Jarvis Island",70998.2962351379
"243","Papua New Guinea",3171.55769124748
"244","Johnston Atoll",104460.658078881
"245","Gilbert Islands",3347.68411990567
"246","French Polynesia",4945.13898622593
"247","Papua New Guinea",99007.4301600203
"248","Marshall Islands",151156.970574448
"249","Jarvis Island",98062.6441035888
"250","Solomon Islands",88394.4761794763
"251","Micronesia",113804.598189316
"252","Jarvis Island",7134.59552085762
"253","Line Group",52461.0380360362
"254","French Polynesia",155676.85965477
"255","Japan",135761.872275447
"256","Philippines",116353.524015286
"257","Wake Island",95777.1680574346
"258","Cook Islands",16644.9941915539
