"","eez","Dist"
"178","Northern Mariana Islands",219799.848405061
"179","Hawaii",202741.512922071
"180","Hawaii",442417.250681737
"181","Line Group",42944.2343560359
"182","Johnston Atoll",285462.348134363
"183","French Polynesia",292441.131657539
"184","Philippines",78905.3706846256
"185","Japan",46574.15837852
"186","Howland and Baker islands",115151.77173229
"187","Line Group",2165.81668301059
"188","Palmyra Atoll",128189.795180995
"189","Solomon Islands",16981.7622596275
"190","Line Group",27230.5239336639
"191","Johnston Atoll",595883.826219778
"192","Howland and Baker islands",368754.172686328
"193","Hawaii",46550.7147403102
"194","Johnston Atoll",234901.916851361
"195","Marshall Islands",575834.23904751
"196","Hawaii",145300.922717777
"197","Philippines",347261.407054593
"198","Solomon Islands",142460.520541728
"199","Johnston Atoll",581383.978400568
"200","Line Group",210230.916523226
"201","Micronesia",164748.599429158
"202","French Polynesia",76145.9833071704
"203","Wake Island",168974.126285409
"204","Phoenix Group",16480.1573386148
"205","Palmyra Atoll",196971.039779417
"206","Line Group",262905.859058853
"207","Line Group",85887.0287440718
"208","Micronesia",82365.6006223871
"209","Philippines",145414.756165644
"210","Howland and Baker islands",72180.0929978461
"211","Japan",82363.033498126
"212","Jarvis Island",53380.3041560254
"213","Hawaii",410400.710336615
"214","Line Group",105529.91881549
"215","Palmyra Atoll",356704.389691344
"216","Johnston Atoll",264420.382936643
"217","Johnston Atoll",244534.013267059
"218","Japan",199023.523332178
"219","Hawaii",452583.776775727
"220","Line Group",350055.001052231
"221","Johnston Atoll",438261.228746572
"222","Wake Island",163868.726633296
"223","Marshall Islands",162413.598173051
"224","Palmyra Atoll",556503.206796732
"225","French Polynesia",272516.764859925
"226","French Polynesia",529256.99731759
"227","Papua New Guinea",171000.802825433
"228","Hawaii",80129.9976024309
"229","Marshall Islands",481684.976255598
"230","Palmyra Atoll",115915.219741733
"231","Johnston Atoll",238657.14021358
"232","Hawaii",9801.82693722803
"233","Micronesia",13205.3424434491
"234","Palmyra Atoll",232799.215082447
"235","Japan",284977.052721898
"236","Jarvis Island",42709.6421320112
"237","Marshall Islands",283842.711649724
"238","Wake Island",6582.38376440909
"239","Japan",40960.9622025547
"240","French Polynesia",157154.938719131
"241","Micronesia",33389.089651668
"242","Hawaii",279963.672826106
"243","French Polynesia",221240.312813917
"244","Johnston Atoll",426752.771499565
"245","Marshall Islands",134791.654635625
"246","Line Group",63132.1517012367
"247","Phoenix Group",315578.803235058
"248","Micronesia",533974.346616197
"249","Howland and Baker islands",246893.847957235
"250","Tuvalu",4462.89571270001
"251","Micronesia",391946.469480773
"252","Marshall Islands",169719.025101899
"253","Palmyra Atoll",440424.336761347
"254","Johnston Atoll",575629.898248946
"255","Line Group",55719.7790080851
"256","Line Group",144912.328604395
"257","Micronesia",15339.2695017757
"258","Howland and Baker islands",436874.36869686
"259","Palmyra Atoll",226848.589275966
"260","Marshall Islands",316221.023580088
"261","Micronesia",43997.028393215
"262","French Polynesia",165044.338316795
"263","Johnston Atoll",561541.174198916
"264","Philippines",34182.0161536901
"265","Marshall Islands",442371.668963818
"266","French Polynesia",296219.695990251
"267","Japan",255380.011965916
"268","Palmyra Atoll",211596.797994658
"269","Northern Mariana Islands",324332.605306771
"270","Papua New Guinea",48189.6552692458
"271","Cook Islands",1047.53792742353
"272","Hawaii",3721.92710227999
"273","Palmyra Atoll",241800.79933519
"274","Marshall Islands",363219.540317835
"275","Vanuatu",1601.46374470523
"276","Line Group",18596.6497575908
"277","Howland and Baker islands",20602.6066605199
"278","Palmyra Atoll",1000.77494654447
"279","Johnston Atoll",173984.858953672
"280","Japan",163057.825249732
"281","French Polynesia",351150.967599979
"282","Palmyra Atoll",63107.3348460485
"283","Johnston Atoll",392312.499456966
"284","Cook Islands",20270.7276940558
"285","Line Group",627929.610659428
"286","Nauru",62539.7949340899
"287","Cook Islands",98804.992427322
"288","Marshall Islands",129868.949812123
"289","Hawaii",210758.780296394
"290","Northern Mariana Islands",101150.156092088
"291","Hawaii",204070.018551124
"292","Japan",272760.712554219
"293","Palmyra Atoll",219713.888841013
"294","Palmyra Atoll",545685.857134933
"295","Johnston Atoll",19329.786806263
"296","French Polynesia",54307.7083971598
"297","Phoenix Group",367985.030903157
"298","Johnston Atoll",548924.820100871
"299","Marshall Islands",249938.487529617
"300","Howland and Baker islands",681255.128176994
"301","Marshall Islands",31618.1497792825
"302","Line Group",562335.615765938
"303","Marshall Islands",366853.102669559
"304","Papua New Guinea",18052.4583311608
"305","Phoenix Group",100123.75781804
"306","Marshall Islands",628827.301407118
"307","Hawaii",13480.4490298962
"308","Northern Mariana Islands",15457.6661574603
"309","Marshall Islands",189346.989718803
"310","Palmyra Atoll",126919.043776531
"311","Hawaii",40108.4877305067
"312","Howland and Baker islands",5792.02684584585
"313","Marshall Islands",465348.403782911
"314","Marshall Islands",173756.682252635
"315","French Polynesia",70259.2403023037
"316","Marshall Islands",246584.91367983
"317","Micronesia",179684.731624957
"318","Gilbert Islands",88005.3984769677
"319","Howland and Baker islands",431325.252004971
"320","Marshall Islands",253323.851579246
"321","Howland and Baker islands",400635.156446275
"322","Micronesia",194625.683650168
"323","Palau",35197.8848550576
"324","Palau",99099.3536682505
"325","Marshall Islands",70621.8565605026
"326","Howland and Baker islands",121714.389445087
"327","Palmyra Atoll",394259.233388682
"328","Micronesia",89970.4375491415
"329","Johnston Atoll",33853.1664995791
"330","Hawaii",318422.884273598
"331","Micronesia",181833.834996137
"332","Hawaii",233956.605832706
"333","Philippines",191055.670134235
"334","Indonesia",148072.037891089
"335","Philippines",236457.392369207
"336","Marshall Islands",233398.25640469
"337","Hawaii",53910.2067495192
"338","Gilbert Islands",366884.230861935
"339","Northern Mariana Islands",156207.546898998
"340","Palmyra Atoll",85489.8538146569
"341","Johnston Atoll",276891.766129105
"342","Philippines",103826.851597672
"343","French Polynesia",235167.210306416
"344","Howland and Baker islands",46177.8717695265
"345","Marshall Islands",53757.5788125198
"346","French Polynesia",81483.7902879799
"347","Micronesia",246139.073157162
"348","Hawaii",338719.878948858
"349","Marshall Islands",225970.831984567
"350","Line Group",107198.12355406
"351","Line Group",341124.707320791
"352","Line Group",648505.097178652
"353","Marshall Islands",192482.161313252
"354","Marshall Islands",283858.003462426
"355","Indonesia",32495.4929525508
"356","Phoenix Group",326600.276598753
"357","Line Group",124052.061604307
"358","Japan",167990.506311621
"359","Line Group",50638.2061211715
"360","Line Group",76082.8261984991
"361","Phoenix Group",48561.471408771
"362","Tuvalu",6642.61779313718
