FID,country,name,subcountry,id,Aire_CydEA,ORIG_FID,POINT_X,POINT_Y
81,KI,Gilbert Islands,GL,15,1054237.888,1,176.1812744,4.446716309
82,KI,Gilbert Islands,GL,15,1054237.888,1,176.2269287,4.29510498
83,KI,Gilbert Islands,GL,15,1054237.888,1,176.265686,4.141479492
84,KI,Gilbert Islands,GL,15,1054237.888,1,176.296875,3.98651123
85,KI,Gilbert Islands,GL,15,1054237.888,1,176.3209229,3.829711914
86,KI,Gilbert Islands,GL,15,1054237.888,1,176.3375244,3.672302246
87,KI,Gilbert Islands,GL,15,1054237.888,1,176.3441162,3.574523926
88,KI,Gilbert Islands,GL,15,1054237.888,1,176.3480835,3.47668457
89,KI,Gilbert Islands,GL,15,1054237.888,1,176.348877,3.378723145
90,KI,Gilbert Islands,GL,15,1054237.888,1,176.3726807,3.321716309
91,KI,Gilbert Islands,GL,15,1054237.888,1,176.3953247,3.264526367
92,KI,Gilbert Islands,GL,15,1054237.888,1,176.4086914,3.229309082
93,KI,Gilbert Islands,GL,15,1054237.888,1,176.4216919,3.193908691
94,KI,Gilbert Islands,GL,15,1054237.888,1,176.4260864,3.181518555
95,KI,Gilbert Islands,GL,15,1054237.888,1,176.430481,3.168884277
96,KI,Gilbert Islands,GL,15,1054237.888,1,176.4666748,3.067504883
97,KI,Gilbert Islands,GL,15,1054237.888,1,176.4998779,2.965087891
98,KI,Gilbert Islands,GL,15,1054237.888,1,176.5291138,2.86151123
99,KI,Gilbert Islands,GL,15,1054237.888,1,176.555481,2.757080078
100,KI,Gilbert Islands,GL,15,1054237.888,1,176.5689087,2.698120117
101,KI,Gilbert Islands,GL,15,1054237.888,1,176.5811157,2.638916016
102,KI,Gilbert Islands,GL,15,1054237.888,1,176.5958862,2.559692383
103,KI,Gilbert Islands,GL,15,1054237.888,1,176.6087036,2.479675293
104,KI,Gilbert Islands,GL,15,1054237.888,1,176.6195068,2.399719238
105,KI,Gilbert Islands,GL,15,1054237.888,1,176.6881104,2.300476074
106,KI,Gilbert Islands,GL,15,1054237.888,1,176.7531128,2.198730469
107,KI,Gilbert Islands,GL,15,1054237.888,1,176.7681274,2.174316406
108,KI,Gilbert Islands,GL,15,1054237.888,1,176.7830811,2.149291992
109,KI,Gilbert Islands,GL,15,1054237.888,1,176.822876,2.080688477
110,KI,Gilbert Islands,GL,15,1054237.888,1,176.8604736,2.011108398
111,KI,Gilbert Islands,GL,15,1054237.888,1,177.0244751,1.985900879
112,KI,Gilbert Islands,GL,15,1054237.888,1,177.1867065,1.952514648
113,KI,Gilbert Islands,GL,15,1054237.888,1,177.34729,1.910888672
114,KI,Gilbert Islands,GL,15,1054237.888,1,177.5054932,1.86151123
115,KI,Gilbert Islands,GL,15,1054237.888,1,177.6608887,1.803894043
116,KI,Gilbert Islands,GL,15,1054237.888,1,177.8134766,1.738891602
117,KI,Gilbert Islands,GL,15,1054237.888,1,177.9625244,1.66607666
118,KI,Gilbert Islands,GL,15,1054237.888,1,178.1444702,1.565917969
119,KI,Gilbert Islands,GL,15,1054237.888,1,178.3198853,1.454284668
120,KI,Gilbert Islands,GL,15,1054237.888,1,178.4876709,1.332092285
121,KI,Gilbert Islands,GL,15,1054237.888,1,178.6480713,1.199523926
122,KI,Gilbert Islands,GL,15,1054237.888,1,178.7996826,1.056884766
123,KI,Gilbert Islands,GL,15,1054237.888,1,178.9423218,0.905273438
124,KI,Gilbert Islands,GL,15,1054237.888,1,179.0753174,0.745117188
125,KI,Gilbert Islands,GL,15,1054237.888,1,179.1981201,0.577087402
126,KI,Gilbert Islands,GL,15,1054237.888,1,179.2426758,0.50970459
127,KI,Gilbert Islands,GL,15,1054237.888,1,179.2858887,0.441711426
