V1,V2,eez,V3
173.6262817,-18.43170166,I8,173.6262817
173.4442749,-18.09710693,I8,173.4442749
173.2910767,-17.89959717,I8,173.2910767
173.1381226,-17.73181152,I8,173.1381226
172.9500732,-17.59997559,I8,172.9500732
172.8695068,-17.42260742,I8,172.8695068
172.8214722,-17.31732178,I8,172.8214722
172.7194824,-17.18890381,I8,172.7194824
172.6174927,-17.0803833,I8,172.6174927
172.4541016,-16.9520874,I8,172.4541016
172.2396851,-16.86328125,I8,172.2396851
172.0001221,-16.79998779,I8,172.0001221
172.0131226,-16.58679199,I8,172.0131226
172.0253296,-16.3894043,I8,172.0253296
172.0150757,-16.18218994,I8,172.0150757
171.9844971,-15.91571045,I8,171.9844971
171.9232788,-15.59979248,I8,171.9232788
171.8312988,-15.33331299,I8,171.8312988
171.7191162,-15.13592529,I8,171.7191162
171.6168823,-14.94970703,I8,171.6168823
171.6282959,-14.9486084,I8,171.6282959
171.6383057,-14.9440918,I8,171.6383057
171.6483154,-14.93939209,I8,171.6483154
171.6583252,-14.93469238,I8,171.6583252
171.6682739,-14.92999268,I8,171.6682739
171.6782837,-14.92529297,I8,171.6782837
171.6882935,-14.92041016,I8,171.6882935
171.6983032,-14.91571045,I8,171.6983032
171.708313,-14.91101074,I8,171.708313
171.7183228,-14.90612793,I8,171.7183228
171.7282715,-14.90130615,I8,171.7282715
171.7380981,-14.89630127,I8,171.7380981
171.7481079,-14.89141846,I8,171.7481079
171.7578735,-14.88659668,I8,171.7578735
171.7678833,-14.88140869,I8,171.7678833
171.7775269,-14.87640381,I8,171.7775269
171.7874756,-14.87139893,I8,171.7874756
171.7973022,-14.86639404,I8,171.7973022
171.8068848,-14.86108398,I8,171.8068848
171.8167114,-14.8560791,I8,171.8167114
171.8267212,-14.85070801,I8,171.8267212
171.8364868,-14.84558106,I8,171.8364868
171.8461304,-14.84020996,I8,171.8461304
171.855896,-14.83502197,I8,171.855896
171.8652954,-14.82971191,I8,171.8652954
171.8751221,-14.82440186,I8,171.8751221
171.8847046,-14.8190918,I8,171.8847046
171.8944702,-14.81359863,I8,171.8944702
171.9039307,-14.80828857,I8,171.9039307
171.9136963,-14.80279541,I8,171.9136963
171.9230957,-14.79718018,I8,171.9230957
171.9329224,-14.79168701,I8,171.9329224
171.9423218,-14.78601074,I8,171.9423218
171.9517212,-14.78057861,I8,171.9517212
171.9611206,-14.77502441,I8,171.9611206
171.9708862,-14.76940918,I8,171.9708862
171.9802856,-14.76361084,I8,171.9802856
171.9896851,-14.75799561,I8,171.9896851
171.9989014,-14.75219727,I8,171.9989014
172.0083008,-14.74639893,I8,172.0083008
172.0178833,-14.74047852,I8,172.0178833
172.0272827,-14.73468018,I8,172.0272827
172.036499,-14.72888184,I8,172.036499
172.0458984,-14.7230835,I8,172.0458984
172.0552979,-14.71722412,I8,172.0552979
172.0645142,-14.71112061,I8,172.0645142
172.0737305,-14.7052002,I8,172.0737305
172.0828857,-14.69909668,I8,172.0828857
172.0922852,-14.69329834,I8,172.0922852
172.1015015,-14.68719482,I8,172.1015015
172.1104736,-14.68109131,I8,172.1104736
172.1196899,-14.67498779,I8,172.1196899
172.1289062,-14.66888428,I8,172.1289062
172.1381226,-14.66247559,I8,172.1381226
172.1469116,-14.65631104,I8,172.1469116
172.1561279,-14.65020752,I8,172.1561279
172.1652832,-14.64379883,I8,172.1652832
172.1743164,-14.63751221,I8,172.1743164
172.1832886,-14.63140869,I8,172.1832886
172.1923218,-14.625,I8,172.1923218
172.2011108,-14.61859131,I8,172.2011108
172.210083,-14.61218262,I8,172.210083
172.2188721,-14.60571289,I8,172.2188721
172.2280884,-14.59918213,I8,172.2280884
172.2368774,-14.5927124,I8,172.2368774
172.2457275,-14.58612061,I8,172.2457275
172.2545166,-14.57971191,I8,172.2545166
172.2633057,-14.57299805,I8,172.2633057
172.2722778,-14.56640625,I8,172.2722778
172.2808838,-14.55999756,I8,172.2808838
172.2896729,-14.55328369,I8,172.2896729
172.2982788,-14.54638672,I8,172.2982788
172.3068848,-14.53961182,I8,172.3068848
172.315918,-14.53308105,I8,172.315918
172.3245239,-14.52630615,I8,172.3245239
172.3331299,-14.51940918,I8,172.3331299
172.3416748,-14.51269531,I8,172.3416748
172.3502808,-14.50579834,I8,172.3502808
172.3588867,-14.49890137,I8,172.3588867
172.3673096,-14.49188232,I8,172.3673096
172.3759155,-14.48498535,I8,172.3759155
172.3845215,-14.47808838,I8,172.3845215
172.3928833,-14.4710083,I8,172.3928833
172.401123,-14.46411133,I8,172.401123
172.409729,-14.45690918,I8,172.409729
172.4180908,-14.45001221,I8,172.4180908
172.4265137,-14.44281006,I8,172.4265137
172.4346924,-14.43579102,I8,172.4346924
172.4431152,-14.42858887,I8,172.4431152
172.4514771,-14.42138672,I8,172.4514771
172.4597168,-14.41418457,I8,172.4597168
172.4680786,-14.40692139,I8,172.4680786
172.4760742,-14.39971924,I8,172.4760742
172.4844971,-14.39251709,I8,172.4844971
172.4924927,-14.38500977,I8,172.4924927
172.5004883,-14.37780762,I8,172.5004883
172.5089111,-14.3704834,I8,172.5089111
172.5169067,-14.36297607,I8,172.5169067
172.5250854,-14.35552979,I8,172.5250854
172.5330811,-14.34832764,I8,172.5330811
172.5410767,-14.34082031,I8,172.5410767
172.5493164,-14.33331299,I8,172.5493164
172.5568848,-14.32580566,I8,172.5568848
172.5651245,-14.31829834,I8,172.5651245
172.5731201,-14.31048584,I8,172.5731201
172.5808716,-14.30297852,I8,172.5808716
172.5886841,-14.29541016,I8,172.5886841
172.5966797,-14.28778076,I8,172.5966797
172.6044922,-14.2800293,I8,172.6044922
172.6123047,-14.27252197,I8,172.6123047
