V1,V2,eez,V3
-158.387207,-3.376892089,H5,201.612793
-158.7667236,-3.866577149,H5,201.2332764
-159.0895996,-4.543212891,H5,200.9104004
-159.2548828,-5.226989746,H5,200.7451172
-159.2905273,-5.843017578,H5,200.7094727
-159.5009155,-5.906005859,H5,200.4990845
-159.6884766,-5.995117187,H5,200.3115234
-159.7788086,-6.052612304,H5,200.2211914
-159.8569946,-6.097290039,H5,200.1430054
-159.9639282,-6.177185059,H5,200.0360718
-160.0177002,-6.215881348,H5,199.9822998
-160.1141968,-6.288024903,H5,199.8858032
-160.2011108,-6.347229004,H5,199.7988892
-160.2827759,-6.40991211,H5,199.7172241
-160.3583984,-6.473510742,H5,199.6416016
-160.4332886,-6.556884766,H5,199.5667114
-160.5106812,-6.641113281,H5,199.4893188
-160.5534058,-6.697082519,H5,199.4465942
-160.6824951,-6.667297363,H5,199.3175049
-160.8583984,-6.649414062,H5,199.1416016
-161.0465088,-6.646179199,H5,198.9534912
-161.2034912,-6.64642334,H5,198.7965088
-161.3552856,-6.661376953,H5,198.6447144
-161.531311,-6.675476074,H5,198.468689
-161.7385864,-6.710083008,H5,198.2614136
-161.8739014,-6.735412598,H5,198.1260986
-162.0413818,-6.77532959,H5,197.9586182
-162.1854858,-6.810180664,H5,197.8145142
-162.3599854,-6.878479004,H5,197.6400146
-162.3677979,-6.887084961,H5,197.6322021
-162.5371094,-6.957214356,H5,197.4628906
-162.7454834,-7.069274903,H5,197.2545166
-162.9000854,-7.148010254,H5,197.0999146
-163.0078125,-7.223388672,H5,196.9921875
-163.0991211,-7.299804688,H5,196.9008789
-163.2224121,-7.392395019,H5,196.7775879
-163.2932129,-7.445983887,H5,196.7067871
-163.3659058,-7.508911133,H5,196.6340942
-163.4694824,-7.603210449,H5,196.5305176
-163.5537109,-7.687316894,H5,196.4462891
-163.6390991,-7.773010254,H5,196.3609009
-163.7026978,-7.865722656,H5,196.2973022
-163.7617798,-7.929992676,H5,196.2382202
-163.8375854,-8.021728516,H5,196.1624146
-163.869812,-8.073974609,H5,196.130188
-163.887207,-8.094604492,H5,196.112793
-163.901001,-8.090209961,H5,196.098999
-163.9650879,-8.044494629,H5,196.0349121
-164.0446777,-7.989196777,H5,195.9553223
-164.1821899,-7.913879395,H5,195.8178101
-164.2817993,-7.861877441,H5,195.7182007
-164.3787842,-7.816711426,H5,195.6212158
-164.4782104,-7.772583008,H5,195.5217896
-164.6159058,-7.712707519,H5,195.3840942
-164.7406006,-7.66229248,H5,195.2593994
-164.8826904,-7.616210937,H5,195.1173096
-164.9848022,-7.574523926,H5,195.0151978
-165.0541992,-7.558776855,H5,194.9458008
-165.2006836,-7.539306641,H5,194.7993164
-165.3947144,-7.499023437,H5,194.6052856
-165.5792847,-7.480285644,H5,194.4207153
-165.833313,-7.468994141,H5,194.166687
-166.0690918,-7.468994141,H5,193.9309082
-166.3233032,-7.500793457,H5,193.6766968
-166.5496826,-7.534423828,H5,193.4503174
-166.7371216,-7.584411621,H5,193.2628784
-166.9506836,-7.662109375,H5,193.0493164
-167.1389771,-7.725891114,H5,192.8610229
-167.3342896,-7.80090332,H5,192.6657104
-167.4290161,-7.849609375,H5,192.5709839
-167.5540771,-7.92578125,H5,192.4459229
-167.7008057,-8.004211425,H5,192.2991943
-167.8380127,-8.096679688,H5,192.1619873
-167.9155273,-8.158325196,H5,192.0844727
-167.9945068,-8.216491699,H5,192.0054932
-168.0092163,-8.233276367,H5,191.9907837
-168.0192261,-8.185302735,H5,191.9807739
-168.0994873,-8.008605957,H5,191.9005127
-168.1984253,-7.80670166,H5,191.8015747
-168.3225098,-7.593383789,H5,191.6774902
-168.4362793,-7.418395996,H5,191.5637207
-168.5947876,-7.219604492,H5,191.4052124
-168.7393799,-7.053222656,H5,191.2606201
-168.9230957,-6.877807617,H5,191.0769043
-168.833313,-6.799987793,H5,191.166687
-168.7667236,-6.733276367,H5,191.2332764
-168.666687,-6.616577149,H5,191.333313
-168.5667114,-6.5,H5,191.4332886
-168.4832764,-6.383300781,H5,191.5167236
