V1,V2,eez,V3,
180,31.46834775,I6,180,
179.9832764,31.46127467,I6,179.9832764,0.007
179.9658813,31.45388942,I6,179.9658813,0.007
179.9484863,31.44644313,I6,179.9484863,0.007
179.9310913,31.43887477,I6,179.9310913,0.008
179.9138794,31.43124538,I6,179.9138794,0.008
179.8964844,31.42349391,I6,179.8964844,0.008
179.8792725,31.41568141,I6,179.8792725,0.008
179.8621216,31.40786891,I6,179.8621216,0.008
179.8450928,31.39987331,I6,179.8450928,0.008
179.8278809,31.3918777,I6,179.8278809,0.008
179.8109131,31.38369899,I6,179.8109131,0.008
179.7938843,31.37545924,I6,179.7938843,0.008
179.7770996,31.36728053,I6,179.7770996,0.008
179.7642822,31.36087184,I6,179.7642822,0.006
179.7509155,31.35446315,I6,179.7509155,0.006
179.7341309,31.34585719,I6,179.7341309,0.009
179.7172852,31.33749538,I6,179.7172852,0.008
179.7006836,31.32907252,I6,179.7006836,0.008
179.684082,31.32028346,I6,179.684082,0.009
179.6674805,31.3116775,I6,179.6674805,0.009
179.6508789,31.30288844,I6,179.6508789,0.009
179.6342773,31.29409938,I6,179.6342773,0.009
179.6179199,31.28506618,I6,179.6179199,0.009
179.6015015,31.27609401,I6,179.6015015,0.009
179.5872803,31.26828151,I6,179.5872803,0.008
179.5791016,31.26364284,I6,179.5791016,0.005
179.5626831,31.25448756,I6,179.5626831,0.009
179.5466919,31.24527125,I6,179.5466919,0.009
179.5305176,31.23605495,I6,179.5305176,0.009
179.5142822,31.22665553,I6,179.5142822,0.009
179.498291,31.21725612,I6,179.498291,0.009
179.4822998,31.2078567,I6,179.4822998,0.009
179.4664917,31.19827418,I6,179.4664917,0.010
179.4505005,31.18869166,I6,179.4505005,0.010
179.4346924,31.178865,I6,179.4346924,0.010
179.4188843,31.16909938,I6,179.4188843,0.010
179.4033203,31.15927272,I6,179.4033203,0.010
179.3876953,31.14944606,I6,179.3876953,0.010
179.3720703,31.13949733,I6,179.3720703,0.010
179.3566895,31.12948756,I6,179.3566895,0.010
179.3411255,31.11929469,I6,179.3411255,0.010
179.3256836,31.10910182,I6,179.3256836,0.010
179.3104858,31.09884791,I6,179.3104858,0.010
179.2952881,31.08865504,I6,179.2952881,0.010
179.2800903,31.07827907,I6,179.2800903,0.010
179.2764893,31.07565456,I6,179.2764893,0.003
179.2647095,31.06765895,I6,179.2647095,0.008
179.2496948,31.05709987,I6,179.2496948,0.011
179.2346802,31.04647975,I6,179.2346802,0.011
179.2197266,31.03585963,I6,179.2197266,0.011
179.204895,31.02505641,I6,179.204895,0.011
179.1898804,31.01425319,I6,179.1898804,0.011
179.175293,31.00344997,I6,179.175293,0.011
179.1605225,30.99264674,I6,179.1605225,0.011
179.145874,30.98166041,I6,179.145874,0.011
179.1315308,30.97067409,I6,179.1315308,0.011
179.1168823,30.95944362,I6,179.1168823,0.011
179.102478,30.94827418,I6,179.102478,0.011
179.0883179,30.93704372,I6,179.0883179,0.011
179.0739136,30.92587428,I6,179.0739136,0.011
179.067688,30.9208694,I6,179.067688,0.005
179.0596924,30.91446071,I6,179.0596924,0.006
179.0454712,30.90304713,I6,179.0454712,0.011
179.0314941,30.89145045,I6,179.0314941,0.012
179.0175171,30.87985377,I6,179.0175171,0.012
179.0037231,30.86825709,I6,179.0037231,0.012
178.9896851,30.85666041,I6,178.9896851,0.012
178.9760742,30.84506374,I6,178.9760742,0.012
178.9622803,30.83328395,I6,178.9622803,0.012
178.9487305,30.82126002,I6,178.9487305,0.012
178.9351196,30.80948024,I6,178.9351196,0.012
178.9216919,30.79745631,I6,178.9216919,0.012
178.9080811,30.78549342,I6,178.9080811,0.012
178.8948975,30.7734695,I6,178.8948975,0.012
178.8815308,30.76126247,I6,178.8815308,0.012
178.8682861,30.74905543,I6,178.8682861,0.012
178.8552856,30.7368484,I6,178.8552856,0.012
178.8422852,30.72445827,I6,178.8422852,0.012
178.8292847,30.71206813,I6,178.8292847,0.012
178.8162842,30.69967799,I6,178.8162842,0.012
178.8035278,30.68704372,I6,178.8035278,0.013
178.7908936,30.67465358,I6,178.7908936,0.012
178.7780762,30.66208034,I6,178.7780762,0.013
178.7655029,30.64944606,I6,178.7655029,0.013
178.7531128,30.63668971,I6,178.7531128,0.013
178.7404785,30.62387233,I6,178.7404785,0.013
178.7280884,30.61105495,I6,178.7280884,0.013
178.7158813,30.59805446,I6,178.7158813,0.013
178.7036743,30.58529811,I6,178.7036743,0.013
178.690918,30.57168727,I6,178.690918,0.014
178.6882935,30.56887965,I6,178.6882935,0.003
178.6763306,30.55587916,I6,178.6763306,0.013
178.6644897,30.54269557,I6,178.6644897,0.013
178.65271,30.52969508,I6,178.65271,0.013
178.6398926,30.51547389,I6,178.6398926,0.014
178.6281128,30.5022903,I6,178.6281128,0.013
178.6165161,30.48886256,I6,178.6165161,0.013
178.6049194,30.47549586,I6,178.6049194,0.013
178.5933228,30.46206813,I6,178.5933228,0.013
178.5819092,30.44870143,I6,178.5819092,0.013
178.5797119,30.44607692,I6,178.5797119,0.003
178.5703125,30.43484645,I6,178.5703125,0.011
178.5587158,30.4208694,I6,178.5587158,0.014
178.5524902,30.4130569,I6,178.5524902,0.008
178.5471191,30.40664821,I6,178.5471191,0.006
178.5358887,30.3930984,I6,178.5358887,0.014
178.5249023,30.37924342,I6,178.5249023,0.014
178.5140991,30.36544948,I6,178.5140991,0.014
178.5031128,30.35165553,I6,178.5031128,0.014
178.4924927,30.33804469,I6,178.4924927,0.014
178.4865112,30.33004909,I6,178.4865112,0.008
178.4832764,30.3260818,I6,178.4832764,0.004
178.4813232,30.32345729,I6,178.4813232,0.003
178.4707031,30.30948024,I6,178.4707031,0.014
178.460083,30.29544215,I6,178.460083,0.014
178.449707,30.2814651,I6,178.449707,0.014
178.43927,30.26748805,I6,178.43927,0.014
178.4290771,30.25326686,I6,178.4290771,0.014
178.4188843,30.23904567,I6,178.4188843,0.014
178.4102783,30.22689967,I6,178.4102783,0.012
178.4085083,30.22445827,I6,178.4085083,0.002
178.3984985,30.21029811,I6,178.3984985,0.014
178.3884888,30.19589381,I6,178.3884888,0.014
178.3787231,30.18148952,I6,178.3787231,0.014
178.3690796,30.16726833,I6,178.3690796,0.014
178.359314,30.15268092,I6,178.359314,0.015
178.3536987,30.14425807,I6,178.3536987,0.008
178.3494873,30.13809352,I6,178.3494873,0.006
178.3400879,30.12344508,I6,178.3400879,0.015
178.3306885,30.10885768,I6,178.3306885,0.015
178.3212891,30.09408717,I6,178.3212891,0.015
178.3187256,30.09005885,I6,178.3187256,0.004
178.3112793,30.07846217,I6,178.3112793,0.012
178.3023071,30.06387477,I6,178.3023071,0.015
178.2930908,30.04904323,I6,178.2930908,0.015
178.2841187,30.03427272,I6,178.2841187,0.015
178.2753296,30.01944118,I6,178.2753296,0.015
178.2720947,30.01407008,I6,178.2720947,0.005
178.2631226,29.99905543,I6,178.2631226,0.015
178.2545166,29.98428493,I6,178.2545166,0.015
178.2459106,29.96927028,I6,178.2459106,0.015
178.2373047,29.95425563,I6,178.2373047,0.015
178.2288818,29.93924098,I6,178.2288818,0.015
178.22052,29.92428737,I6,178.22052,0.015
178.211731,29.90829616,I6,178.211731,0.016
178.2039185,29.89389186,I6,178.2039185,0.014
178.1956787,29.87887721,I6,178.1956787,0.015
178.1876831,29.86367946,I6,178.1876831,0.015
178.1798706,29.8484817,I6,178.1798706,0.015
178.1721191,29.83310084,I6,178.1721191,0.015
178.1643066,29.81784206,I6,178.1643066,0.015
178.1566772,29.8026443,I6,178.1566772,0.015
178.1491089,29.78726344,I6,178.1491089,0.015
178.1417236,29.77188258,I6,178.1417236,0.015
178.1342773,29.75650172,I6,178.1342773,0.015
178.1270752,29.74105983,I6,178.1270752,0.015
178.119873,29.72549586,I6,178.119873,0.016
178.1126709,29.71005397,I6,178.1126709,0.015
178.1057129,29.69449,I6,178.1057129,0.016
178.1013184,29.68448024,I6,178.1013184,0.010
178.0985107,29.67849879,I6,178.0985107,0.006
178.0916748,29.66287379,I6,178.0916748,0.016
178.085083,29.64724879,I6,178.085083,0.016
178.0783081,29.63150172,I6,178.0783081,0.016
178.0718994,29.61587672,I6,178.0718994,0.016
178.0653076,29.60006862,I6,178.0653076,0.016
178.0588989,29.58444362,I6,178.0588989,0.016
178.0526733,29.56869655,I6,178.0526733,0.016
178.0465088,29.55288844,I6,178.0465088,0.016
178.0402832,29.53708034,I6,178.0402832,0.016
178.0344849,29.52108913,I6,178.0344849,0.016
178.0285034,29.50528102,I6,178.0285034,0.016
178.0227051,29.48928981,I6,178.0227051,0.016
178.0169067,29.4734817,I6,178.0169067,0.016
178.0112915,29.45749049,I6,178.0112915,0.016
178.0056763,29.44149928,I6,178.0056763,0.016
178.0003052,29.42544704,I6,178.0003052,0.016
177.994873,29.40945582,I6,177.994873,0.016
177.9896851,29.39346461,I6,177.9896851,0.016
177.9844971,29.3772903,I6,177.9844971,0.016
177.9794922,29.36129909,I6,177.9794922,0.016
177.9744873,29.34506373,I6,177.9744873,0.016
177.9697266,29.32907252,I6,177.9697266,0.016
177.9649048,29.31289821,I6,177.9649048,0.016
177.960083,29.29647975,I6,177.960083,0.016
177.9553223,29.27969508,I6,177.9553223,0.017
177.9506836,29.26345973,I6,177.9506836,0.016
177.9462891,29.24728541,I6,177.9462891,0.016
177.9420776,29.23105006,I6,177.9420776,0.016
177.9379272,29.21469264,I6,177.9379272,0.016
177.9337158,29.19845729,I6,177.9337158,0.016
177.9296875,29.18209987,I6,177.9296875,0.016
177.9257202,29.16568141,I6,177.9257202,0.016
177.921875,29.14944606,I6,177.921875,0.016
177.9180908,29.13308864,I6,177.9180908,0.016
177.9144897,29.11667018,I6,177.9144897,0.016
177.9108887,29.10025172,I6,177.9108887,0.016
177.9072876,29.0838943,I6,177.9072876,0.016
177.9064941,29.07925563,I6,177.9064941,0.005
177.9039307,29.0670486,I6,177.9039307,0.012
177.9006958,29.05069118,I6,177.9006958,0.016
177.897522,29.03427272,I6,177.897522,0.016
177.8942871,29.01767116,I6,177.8942871,0.017
177.8912964,29.0012527,I6,177.8912964,0.016
177.8897095,28.99105983,I6,177.8897095,0.010
177.8881226,28.98324733,I6,177.8881226,0.008
177.8850708,28.96487575,I6,177.8850708,0.018
177.8823242,28.94827418,I6,177.8823242,0.017
177.8796997,28.93185573,I6,177.8796997,0.016
177.8770752,28.91525416,I6,177.8770752,0.017
177.8754883,28.90365749,I6,177.8754883,0.012
177.8746948,28.89785914,I6,177.8746948,0.006
177.8723145,28.88125758,I6,177.8723145,0.017
177.8701172,28.86465602,I6,177.8701172,0.017
177.8679199,28.84805446,I6,177.8679199,0.017
177.8659058,28.83145289,I6,177.8659058,0.017
177.8638916,28.81485133,I6,177.8638916,0.017
177.8618774,28.79824977,I6,177.8618774,0.017
177.8602905,28.78164821,I6,177.8602905,0.017
177.8585205,28.76504665,I6,177.8585205,0.017
177.8577271,28.75564723,I6,177.8577271,0.009
177.8568726,28.74765163,I6,177.8568726,0.008
177.8552856,28.73105006,I6,177.8552856,0.017
177.854126,28.7144485,I6,177.854126,0.017
177.8527222,28.69766383,I6,177.8527222,0.017
177.8515015,28.68106227,I6,177.8515015,0.017
177.8502808,28.66446071,I6,177.8502808,0.017
177.8494873,28.64767604,I6,177.8494873,0.017
177.8485107,28.63107448,I6,177.8485107,0.017
177.8477173,28.61428981,I6,177.8477173,0.017
177.84729,28.60605006,I6,177.84729,0.008
177.8466797,28.59347682,I6,177.8466797,0.013
177.8463135,28.58407741,I6,177.8463135,0.009
177.8461304,28.57644801,I6,177.8461304,0.008
177.84552,28.55984645,I6,177.84552,0.017
177.8450928,28.54306178,I6,177.8450928,0.017
177.8447266,28.52646022,I6,177.8447266,0.017
177.8444824,28.50967555,I6,177.8444824,0.017
177.8442993,28.49307399,I6,177.8442993,0.017
177.8442993,28.47628932,I6,177.8442993,0.017
177.8442993,28.45968776,I6,177.8442993,0.017
177.8444824,28.44284206,I6,177.8444824,0.017
177.8444824,28.42630153,I6,177.8444824,0.017
177.8449097,28.40945582,I6,177.8449097,0.017
177.8452759,28.39285426,I6,177.8452759,0.017
177.8458862,28.37606959,I6,177.8458862,0.017
177.8464966,28.35946803,I6,177.8464966,0.017
177.8471069,28.34268336,I6,177.8471069,0.017
177.8479004,28.3260818,I6,177.8479004,0.017
177.8486938,28.30948024,I6,177.8486938,0.017
177.8496704,28.29269557,I6,177.8496704,0.017
177.850708,28.27609401,I6,177.850708,0.017
177.8519287,28.25924831,I6,177.8519287,0.017
177.8530884,28.24264674,I6,177.8530884,0.017
177.8544922,28.22604518,I6,177.8544922,0.017
177.855896,28.20944362,I6,177.855896,0.017
177.8574829,28.19265895,I6,177.8574829,0.017
177.8591309,28.17605739,I6,177.8591309,0.017
177.8609009,28.15945583,I6,177.8609009,0.017
177.8624878,28.14285426,I6,177.8624878,0.017
177.864502,28.1262527,I6,177.864502,0.017
177.8665161,28.10965114,I6,177.8665161,0.017
177.8685303,28.09304957,I6,177.8685303,0.017
177.8707275,28.07644801,I6,177.8707275,0.017
177.8731079,28.05984645,I6,177.8731079,0.017
