V1,V2,eez,V3
180,1.202110716,I4,180
179.9716797,1.065917969,I4,179.9716797
179.9724731,0.958679199,I4,179.9724731
179.9584961,0.862487793,I4,179.9584961
179.9622803,0.801879883,I4,179.9622803
179.9556885,0.739074707,I4,179.9556885
179.9556885,0.728088378,I4,179.9556885
179.9750977,0.543090821,I4,179.9750977
179.9763184,0.369506836,I4,179.9763184
179.9959106,0.27947998,I4,179.9959106
180,0.219858363,I4,180
180,1.00E-10,I4,180
179.526123,1.00E-10,I4,179.526123
179.4210815,0.211914063,I4,179.4210815
179.3781128,0.289672852,I4,179.3781128
179.3331299,0.366516114,I4,179.3331299
179.2858887,0.441711425,I4,179.2858887
179.2426758,0.50970459,I4,179.2426758
179.1981201,0.577087403,I4,179.1981201
179.0753174,0.745117187,I4,179.0753174
178.9423218,0.905273438,I4,178.9423218
178.7996826,1.056884766,I4,178.7996826
178.6480713,1.199523925,I4,178.6480713
178.4876709,1.332092285,I4,178.4876709
178.3198853,1.454284668,I4,178.3198853
178.1444702,1.565917968,I4,178.1444702
177.9625244,1.66607666,I4,177.9625244
177.8134766,1.738891601,I4,177.8134766
177.6608887,1.803894043,I4,177.6608887
177.5054932,1.86151123,I4,177.5054932
177.34729,1.910888672,I4,177.34729
177.1867065,1.952514648,I4,177.1867065
177.0244751,1.985900879,I4,177.0244751
176.8604736,2.011108399,I4,176.8604736
176.822876,2.080688477,I4,176.822876
176.7830811,2.149291992,I4,176.7830811
176.7681274,2.174316407,I4,176.7681274
176.7531128,2.198730469,I4,176.7531128
176.6881104,2.300476074,I4,176.6881104
176.6195068,2.399719239,I4,176.6195068
176.6087036,2.479675293,I4,176.6087036
176.5958862,2.559692383,I4,176.5958862
176.5811157,2.638916016,I4,176.5811157
176.5689087,2.698120118,I4,176.5689087
176.555481,2.757080078,I4,176.555481
176.5291138,2.86151123,I4,176.5291138
176.4998779,2.96508789,I4,176.4998779
176.4666748,3.067504883,I4,176.4666748
176.430481,3.168884277,I4,176.430481
176.4260864,3.181518554,I4,176.4260864
176.4216919,3.193908691,I4,176.4216919
176.4086914,3.229309082,I4,176.4086914
176.3953247,3.264526368,I4,176.3953247
176.3726807,3.321716309,I4,176.3726807
176.348877,3.378723144,I4,176.348877
176.3480835,3.47668457,I4,176.3480835
176.3441162,3.574523926,I4,176.3441162
176.3375244,3.672302246,I4,176.3375244
176.3209229,3.829711914,I4,176.3209229
176.296875,3.986511231,I4,176.296875
176.265686,4.141479492,I4,176.265686
176.2269287,4.295104981,I4,176.2269287
176.1812744,4.446716308,I4,176.1812744
176.1281128,4.59588623,I4,176.1281128
176.0681152,4.742492676,I4,176.0681152
176.0015259,4.885925293,I4,176.0015259
175.9279175,5.009521484,I4,175.9279175
175.8477173,5.162475586,I4,175.8477173
175.7614746,5.295288086,I4,175.7614746
175.6809082,5.407897949,I4,175.6809082
175.5958862,5.516723633,I4,175.5958862
175.4959106,5.578125,I4,175.4959106
175.5249023,5.809509278,I4,175.5249023
175.5249023,6.04888916,I4,175.5249023
175.475708,6.368286133,I4,175.475708
175.4266968,6.687683106,I4,175.4266968
175.2766724,7.216125488,I4,175.2766724
175.248291,7.552490235,I4,175.248291
175.2020874,7.745117188,I4,175.2020874
175.123291,8.120117188,I4,175.123291
175.0117188,8.386291504,I4,175.0117188
175.0001221,8.411071777,I4,175.0001221
175.0001221,20.00012207,I4,175.0001221
177.5168578,20.00012207,I4,177.5168578
180,20.00012207,I4,180
-180,20.00012207,I4,180
-177.4664407,20.00012207,I4,182.5335593
-174.4564198,20.00012207,I4,185.5435802
-170.5808105,20.00012207,I4,189.4191895
-170.7800903,19.95947266,I4,189.2199097
-171.4561768,19.67132568,I4,188.5438232
-172.0549927,19.25469971,I4,187.9450073
-172.5501099,18.72808838,I4,187.4498901
-172.9202881,18.11431885,I4,187.0797119
-173.1489868,17.44030762,I4,186.8510132
-173.2263184,16.73547363,I4,186.7736816
-173.1489868,16.03070068,I4,186.8510132
-172.9202881,15.35668945,I4,187.0797119
-172.5501099,14.74310303,I4,187.4498901
-172.0549927,14.2164917,I4,187.9450073
-171.4561768,13.79992676,I4,188.5438232
-170.7800903,13.51171875,I4,189.2199097
-170.0560913,13.36431885,I4,189.9439087
-170,13.36431885,I4,190
-170,0.103515625,I4,190
-170.0499878,0.133483887,I4,189.9500122
-170.1333008,0.183288574,I4,189.8666992
-170.1832886,0.200073242,I4,189.8167114
-170.2166748,0.233276367,I4,189.7833252
-170.2332764,0.233276367,I4,189.7667236
-170.3666992,0.300109863,I4,189.6333008
-170.5,0.350097656,I4,189.5
-170.6333008,0.400085449,I4,189.3666992
-170.7833252,0.450073242,I4,189.2166748
-170.9332886,0.483276367,I4,189.0667114
-171.0999756,0.516723633,I4,188.9000244
-171.2667236,0.550109863,I4,188.7332764
