V1,V2,eez,V3
-130,1.00E-10,I5,230
-130,-20,I5,230
-132.3135986,-20,I5,227.6864014
-132.4802856,-19.71838379,I5,227.5197144
-132.7667847,-19.36572266,I5,227.2332153
-132.9605103,-19.1663208,I5,227.0394897
-132.9290161,-18.84381103,I5,227.0709839
-132.895813,-18.39489746,I5,227.104187
-132.9901123,-17.81439209,I5,227.0098877
-133.1958008,-17.17419434,I5,226.8041992
-133.5275879,-16.62988281,I5,226.4724121
-133.9960937,-16.0848999,I5,226.0039063
-134.5092163,-15.73950195,I5,225.4907837
-135.0673828,-15.46740723,I5,224.9326172
-135.4882202,-15.34179688,I5,224.5117798
-135.4605103,-14.78088379,I5,224.5394897
-135.5549927,-14.14990234,I5,224.4450073
-135.6995239,-13.60168457,I5,224.3004761
-135.9703979,-13.07769775,I5,224.0296021
-136.2098999,-12.76092529,I5,223.7901001
-135.9328003,-12.50109863,I5,224.0671997
-135.7014771,-12.19641113,I5,224.2985229
-135.3900757,-11.71630859,I5,224.6099243
-135.22052,-11.20629883,I5,224.77948
-135.0966187,-10.67541504,I5,224.9033813
-135.0889893,-10.16931152,I5,224.9110107
-135.1524048,-9.632507324,I5,224.8475952
-135.3170166,-9.105407715,I5,224.6829834
-135.5518799,-8.698791504,I5,224.4481201
-135.8220215,-8.337280273,I5,224.1779785
-135.9448853,-8.045410156,I5,224.0551147
-136.1951904,-7.597290039,I5,223.8048096
-136.4859009,-7.159179688,I5,223.5140991
-136.8214111,-6.877624512,I5,223.1785889
-137.1364136,-6.636291504,I5,222.8635864
-137.4110107,-6.374389649,I5,222.5889893
-137.6448975,-6.167785644,I5,222.3551025
-137.7828979,-5.904907227,I5,222.2171021
-138.0424805,-5.627502441,I5,221.9575195
-138.4697266,-5.223693847,I5,221.5302734
-138.8911133,-4.941528321,I5,221.1088867
-139.2614746,-4.770690918,I5,220.7385254
-139.8748169,-4.631591797,I5,220.1251831
-140.3966064,-4.537719727,I5,219.6033936
-140.897522,-4.590881348,I5,219.102478
-141.473999,-4.715698242,I5,218.526001
-141.8884277,-4.844726563,I5,218.1115723
-142.3076172,-5.044799805,I5,217.6923828
-142.8070068,-5.387207031,I5,217.1929932
-143.2102051,-5.749389648,I5,216.7897949
-143.5524292,-6.181884765,I5,216.4475708
-143.7980957,-6.623596192,I5,216.2019043
-143.9829102,-7.125305176,I5,216.0170898
-144.0673828,-7.459411621,I5,215.9326172
-144.1204834,-7.99987793,I5,215.8795166
-144.0269165,-8.493591309,I5,215.9730835
-144.0462036,-8.670104981,I5,215.9537964
-144.0137939,-9.072692871,I5,215.9862061
-143.9151001,-9.595092773,I5,216.0848999
-143.6998901,-10.11608887,I5,216.3001099
-143.4852295,-10.52111816,I5,216.5147705
