V1,V2,eez,V3
165.9215088,2.699279785,I2,165.9215088
165.9129028,2.696472168,I2,165.9129028
165.9042969,2.693481445,I2,165.9042969
165.8956909,2.690673828,I2,165.8956909
165.8867188,2.687927246,I2,165.8867188
165.8781128,2.684692383,I2,165.8781128
165.8695068,2.681884765,I2,165.8695068
165.8609009,2.678894043,I2,165.8609009
165.8522949,2.676086426,I2,165.8522949
165.843689,2.673095703,I2,165.843689
165.835083,2.67010498,I2,165.835083
165.8264771,2.666870117,I2,165.8264771
165.8178711,2.663879395,I2,165.8178711
165.8093262,2.660888672,I2,165.8093262
165.8007202,2.657897949,I2,165.8007202
165.7922974,2.65447998,I2,165.7922974
165.7836914,2.651489258,I2,165.7836914
165.7750854,2.648071289,I2,165.7750854
165.7664795,2.645080567,I2,165.7664795
165.7581177,2.641723633,I2,165.7581177
165.7495117,2.638671875,I2,165.7495117
165.7409058,2.635314942,I2,165.7409058
165.7324829,2.632080079,I2,165.7324829
165.723877,2.628723145,I2,165.723877
165.715271,2.625305176,I2,165.715271
165.7069092,2.621887207,I2,165.7069092
165.6983032,2.618713379,I2,165.6983032
165.6901245,2.615112305,I2,165.6901245
165.6817017,2.611694336,I2,165.6817017
165.6730957,2.608093262,I2,165.6730957
165.6646729,2.604675293,I2,165.6646729
165.6564941,2.601074219,I2,165.6564941
165.6478882,2.597473145,I2,165.6478882
165.6395264,2.594299317,I2,165.6395264
165.6311035,2.590698242,I2,165.6311035
165.6229248,2.586914062,I2,165.6229248
165.614502,2.583312988,I2,165.614502
165.605896,2.579711914,I2,165.605896
165.5974731,2.575927735,I2,165.5974731
165.5892944,2.57232666,I2,165.5892944
165.5808716,2.568725586,I2,165.5808716
165.5725098,2.564697265,I2,165.5725098
165.56427,2.561096191,I2,165.56427
165.5560913,2.557312012,I2,165.5560913
165.5479126,2.553283691,I2,165.5479126
165.5394897,2.549682617,I2,165.5394897
165.5311279,2.545898437,I2,165.5311279
165.5228882,2.541870117,I2,165.5228882
165.5147095,2.538085938,I2,165.5147095
165.5065308,2.533874511,I2,165.5065308
165.498291,2.530090332,I2,165.498291
165.4901123,2.526123047,I2,165.4901123
165.4816895,2.522277832,I2,165.4816895
165.4736938,2.518127442,I2,165.4736938
165.465271,2.514282227,I2,165.465271
165.4572754,2.510070801,I2,165.4572754
165.4492798,2.50592041,I2,165.4492798
