name,POINT_X,POINT_Y
Gilbert Islands,180.1290894,-2.056884766
Gilbert Islands,180.1439209,-2.143798828
Gilbert Islands,180.1641235,-2.291687012
Gilbert Islands,180.1779175,-2.440002441
Gilbert Islands,180.1848145,-2.588806152
Gilbert Islands,180.1853027,-2.737976074
Gilbert Islands,180.1791992,-2.886901855
Gilbert Islands,180.166687,-3.035583496
Gilbert Islands,180.1472168,-3.183288575
Gilbert Islands,180.1217041,-3.330200195
Gilbert Islands,180.0894165,-3.475708008
Gilbert Islands,180.0581055,-3.594177246
Gilbert Islands,180.022522,-3.711303711
Gilbert Islands,180,-3.777099609
Gilbert Islands,180,-1.567321778
NA,NA,NA
Northern Mariana Islands,149.0557251,20.00012207
Northern Mariana Islands,149.1000977,19.60009766
Northern Mariana Islands,149.2000732,19.40008545
Northern Mariana Islands,149.1500854,18.85009766
Northern Mariana Islands,149.4000854,17.80010986
Northern Mariana Islands,149.3500977,17.00012207
Northern Mariana Islands,149.2501221,16.00012207
Northern Mariana Islands,149.3500977,15.70007324
Northern Mariana Islands,149.4000854,15.00012207
Northern Mariana Islands,148.9000854,13.70007324
Northern Mariana Islands,148.4500732,12.93847656
Northern Mariana Islands,148.2479248,12.53167725
Northern Mariana Islands,148.0991211,12.29650879
Northern Mariana Islands,142.1303101,15.70568848
Northern Mariana Islands,142.2000732,16.00012207
Northern Mariana Islands,142.2501221,16.85009766
Northern Mariana Islands,142.4000854,17.60009766
Northern Mariana Islands,142.0501099,18.70007324
Northern Mariana Islands,141.7000732,19.40008545
Northern Mariana Islands,141.5001221,20.00012207
Northern Mariana Islands,141.4810791,20.89532471
Northern Mariana Islands,145.0963135,23.85913086
Northern Mariana Islands,146.0001221,23.80010986
Northern Mariana Islands,146.8500977,23.35009766
Northern Mariana Islands,147.7501221,22.65008545
Northern Mariana Islands,148.3001099,21.90008545
Northern Mariana Islands,148.8001099,21.00012207
Northern Mariana Islands,149.0001221,20.50012207
Northern Mariana Islands,149.0557251,20.00012207
NA,NA,NA
New Caledonia,170.0333252,-21.63330078
New Caledonia,169.8250732,-25.34460449
New Caledonia,169.5878906,-25.50848389
New Caledonia,169.3123169,-25.66247559
New Caledonia,169.0587158,-25.79150391
New Caledonia,166.3588867,-25.9197998
New Caledonia,165.3203125,-25.48529053
New Caledonia,164.9353027,-25.30621338
New Caledonia,164.5299072,-25.12860107
New Caledonia,164.2235107,-24.95410156
New Caledonia,163.9102783,-24.76037598
New Caledonia,163.4642944,-24.43499756
New Caledonia,162.9254761,-24.0916748
New Caledonia,162.5795288,-23.83648682
New Caledonia,162.194519,-23.4777832
New Caledonia,161.8234863,-23.07958984
New Caledonia,161.0864868,-23.9229126
New Caledonia,160.5001221,-24.29998779
New Caledonia,159.7836914,-24.66619873
New Caledonia,159.1323242,-24.92169189
New Caledonia,158.6109009,-25.1473999
New Caledonia,157.8010864,-23.24829102
New Caledonia,157.3120728,-22.52722168
New Caledonia,157.2178955,-22.17529297
New Caledonia,157.2432861,-21.78918457
New Caledonia,157.1715088,-21.21661377
New Caledonia,157.1068726,-20.89251709
New Caledonia,157.0761108,-20.71520996
New Caledonia,157.0524902,-20.54107666
New Caledonia,156.8261108,-20.14111328
New Caledonia,156.2556763,-19.28668213
New Caledonia,156.6246948,-18.93157959
New Caledonia,156.9456787,-18.5402832
New Caledonia,157.3665161,-17.91101074
New Caledonia,157.6419067,-17.50769043
New Caledonia,158.2739258,-16.58081055
New Caledonia,158.3803101,-16.42510986
New Caledonia,158.7609253,-15.73529053
New Caledonia,160.2498779,-16.13299561
New Caledonia,163.3057251,-14.76940918
New Caledonia,164.6500854,-17
New Caledonia,169.5001221,-21.5
New Caledonia,170.0333252,-21.63330078
NA,NA,NA
Nauru,168.5875244,1.76727295
Nauru,167.8168945,-3.768676757
Nauru,167.7822876,-3.777709961
Nauru,167.7736816,-3.780212403
Nauru,167.7647095,-3.782409668
Nauru,167.7561035,-3.784423828
Nauru,167.7474976,-3.786682129
Nauru,167.7388916,-3.788879395
Nauru,167.7302856,-3.79107666
Nauru,167.7214966,-3.793029785
Nauru,167.7128906,-3.795288086
Nauru,167.7042847,-3.797180176
Nauru,167.6953125,-3.799194336
Nauru,167.6867065,-3.801391601
Nauru,167.6781006,-3.803283691
Nauru,167.6693115,-3.805297852
Nauru,167.6607056,-3.807189942
Nauru,167.6516724,-3.809082032
Nauru,167.6431274,-3.811096191
Nauru,167.6345215,-3.812805175
Nauru,167.6254883,-3.814697265
Nauru,167.6166992,-3.816589355
Nauru,167.6080933,-3.81829834
Nauru,167.5993042,-3.820007324
Nauru,167.5906982,-3.821899414
Nauru,167.5817261,-3.823608398
Nauru,167.5731201,-3.825195312
Nauru,167.56427,-3.826904297
Nauru,167.5557251,-3.828613281
Nauru,167.5466919,-3.830200195
Nauru,167.5379028,-3.83190918
Nauru,167.5292969,-3.833312988
Nauru,167.5203247,-3.835021972
Nauru,167.5114746,-3.836608886
Nauru,167.5029297,-3.838012696
Nauru,167.4938965,-3.839416504
Nauru,167.4851074,-3.841125489
Nauru,167.4760742,-3.842529297
Nauru,167.4675293,-3.843811035
Nauru,167.4586792,-3.845275879
Nauru,167.449707,-3.846679687
Nauru,167.440918,-3.848083496
Nauru,167.4318848,-3.84942627
Nauru,167.4232788,-3.850585937
Nauru,167.4144897,-3.851928711
Nauru,167.4055176,-3.853027344
Nauru,167.3967285,-3.854309082
Nauru,167.3878784,-3.855529785
Nauru,167.3789063,-3.856689454
Nauru,167.3701172,-3.857788086
Nauru,167.361084,-3.859191894
Nauru,167.352478,-3.860290527
Nauru,167.343689,-3.861083984
Nauru,167.3347168,-3.862182617
Nauru,167.3259277,-3.86328125
Nauru,167.3168945,-3.864379883
Nauru,167.3081055,-3.86529541
Nauru,167.2993164,-3.866394043
Nauru,167.2902832,-3.8671875
Nauru,167.2814941,-3.867980957
Nauru,167.272522,-3.86907959
Nauru,167.2636719,-3.869995117
Nauru,167.2546997,-3.870788574
Nauru,167.2459106,-3.871582031
Nauru,167.2368774,-3.872497558
Nauru,167.2280884,-3.87298584
Nauru,167.2192993,-3.873901367
Nauru,167.2103271,-3.874694824
Nauru,167.2011108,-3.875305176
Nauru,167.1923218,-3.876098633
Nauru,167.1832886,-3.876586914
Nauru,167.1744995,-3.877197265
Nauru,167.1657104,-3.877807617
Nauru,167.1566772,-3.878295899
Nauru,167.1478882,-3.87890625
Nauru,167.138916,-3.879394531
Nauru,167.130127,-3.880004883
Nauru,167.1210938,-3.880493164
Nauru,167.1118774,-3.881103516
Nauru,167.1030884,-3.881408691
Nauru,167.0942993,-3.881896973
Nauru,167.0853271,-3.882202148
Nauru,167.0764771,-3.882507324
Nauru,167.0675049,-3.882995605
Nauru,167.0587158,-3.883300781
Nauru,167.0494995,-3.883605957
Nauru,167.0407104,-3.883911132
Nauru,167.0316772,-3.884094238
Nauru,167.0228882,-3.884094238
Nauru,167.013916,-3.884399414
Nauru,167.005127,-3.88470459
Nauru,166.9960937,-3.88470459
Nauru,166.9868774,-3.885009766
Nauru,166.9780884,-3.885009766
Nauru,166.9692993,-3.885009766
Nauru,166.9603271,-3.885009766
Nauru,166.9514771,-3.885009766
Nauru,166.9425049,-3.885192871
Nauru,166.9332886,-3.885009766
Nauru,166.9244995,-3.885009766
Nauru,166.9157104,-3.885009766
Nauru,166.9066772,-3.885009766
Nauru,166.8978882,-3.88470459
Nauru,166.888916,-3.88470459
Nauru,166.8796997,-3.884399414
Nauru,166.8709106,-3.884094238
Nauru,166.8618774,-3.884094238
Nauru,166.8530884,-3.883911132
Nauru,166.8442993,-3.883605957
Nauru,166.8353271,-3.883300781
Nauru,166.8261108,-3.882995605
Nauru,166.8173218,-3.882507324
Nauru,166.8082886,-3.882202148
Nauru,166.7994995,-3.881896973
Nauru,166.7907104,-3.881408691
Nauru,166.7816772,-3.881103516
Nauru,166.7728882,-3.880493164
Nauru,166.763916,-3.880004883
Nauru,166.7546997,-3.879699707
Nauru,166.7459106,-3.879089355
Nauru,166.7351074,-3.878601075
Nauru,166.7243042,-3.877990723
Nauru,166.7130737,-3.877197265
Nauru,166.7022705,-3.876586914
Nauru,166.6911011,-3.876098633
Nauru,166.6802979,-3.875305176
Nauru,166.6694946,-3.874389648
Nauru,166.6583252,-3.873596192
Nauru,166.647522,-3.872802734
Nauru,166.6367187,-3.871887207
Nauru,166.6254883,-3.87109375
Nauru,166.6146851,-3.869995117
Nauru,166.6038818,-3.86907959
Nauru,166.5930786,-3.867980957
Nauru,166.5819092,-3.8671875
Nauru,166.571106,-3.866088867
Nauru,166.5603027,-3.864990235
Nauru,166.5494995,-3.863586425
Nauru,166.5383301,-3.862487793
Nauru,166.5275269,-3.86138916
Nauru,166.5167236,-3.859985352
Nauru,166.5059204,-3.858581543
Nauru,166.4951172,-3.85748291
Nauru,166.484314,-3.856079102
Nauru,166.4730835,-3.854675293
Nauru,166.4622803,-3.853027344
Nauru,166.4514771,-3.85168457
Nauru,166.4406738,-3.849975586
Nauru,166.4296875,-3.848510742
Nauru,166.4188843,-3.846923828
Nauru,166.4080811,-3.845275879
Nauru,166.3972778,-3.843627929
Nauru,166.3864746,-3.841918945
Nauru,166.3754883,-3.840209961
Nauru,166.3646851,-3.838623047
Nauru,166.3538818,-3.836608886
Nauru,166.3433228,-3.834716796
Nauru,166.3325195,-3.833007812
Nauru,166.3217163,-3.831115723
Nauru,166.3109131,-3.829101563
Nauru,166.3001099,-3.827209473
Nauru,166.2893066,-3.825012207
Nauru,166.2786865,-3.822998047
Nauru,166.2678833,-3.820800782
Nauru,166.256897,-3.818908692
Nauru,166.246521,-3.816589355
Nauru,166.2354736,-3.814392089
Nauru,166.2246704,-3.812194824
Nauru,166.2142944,-3.809997559
Nauru,166.2033081,-3.807800293
Nauru,166.1928711,-3.805297852
Nauru,166.1818848,-3.802978515
Nauru,166.1715088,-3.800476075
Nauru,166.1607056,-3.797912597
Nauru,166.1500854,-3.795410157
Nauru,166.1392822,-3.793029785
Nauru,166.1287231,-3.790527344
Nauru,166.118103,-3.788085938
Nauru,166.1072998,-3.785278321
Nauru,166.0966797,-3.782775879
Nauru,166.0861206,-3.780029297
Nauru,166.0756836,-3.777221679
Nauru,166.0651245,-3.774414062
Nauru,166.0543213,-3.771606446
Nauru,166.0437012,-3.768798828
Nauru,166.0330811,-3.765808105
Nauru,166.022522,-3.763000488
Nauru,166.0119019,-3.760009766
Nauru,166.0015259,-3.757202148
Nauru,165.9909058,-3.754089355
Nauru,165.9802856,-3.751098633
Nauru,165.9700928,-3.74798584
Nauru,165.9594727,-3.744995117
Nauru,165.9489136,-3.741577148
Nauru,165.9382935,-3.738586426
Nauru,165.9279175,-3.735290527
Nauru,165.9174805,-3.732177734
Nauru,165.9071045,-3.728881836
Nauru,165.8967285,-3.725585938
Nauru,165.8861084,-3.722229004
Nauru,165.8754883,-3.718811035
Nauru,165.8652954,-3.715209961
Nauru,165.8551025,-3.711914063
Nauru,165.8444824,-3.708312988
Nauru,165.8342896,-3.704711914
Nauru,165.8239136,-3.701416016
Nauru,165.8132935,-3.697692871
Nauru,165.8031006,-3.694091796
Nauru,165.7929077,-3.690307618
Nauru,165.7824707,-3.686584473
Nauru,165.7722778,-3.682983398
Nauru,165.7619019,-3.679077148
Nauru,165.751709,-3.675292969
Nauru,165.7415161,-3.671691895
Nauru,165.7310791,-3.667785645
Nauru,165.7208862,-3.663879394
Nauru,165.7106934,-3.659729004
Nauru,165.7003174,-3.655822754
Nauru,165.6901245,-3.651916504
